Year,Report Date,Bank Name,Bank Type,Is_Aggregate,Deposits_1 - 14 days,Deposits_15 - 28 days,Deposits_29 days to 3 months,Deposits_Over 3 months to 6 months,Deposits_Over 6 months to 1 year,Deposits_Over 1 year to 3 years,Deposits_Over 3 years to 5 years,Deposits_Over 5 years,Deposits_Total of Deposits,Borrowings_1 - 14 days,Borrowings_15 - 28 days,Borrowings_29 days to 3 months,Borrowings_Over 3 months to 6 months,Borrowings_Over 6 months to 1 year,Borrowings_Over 1 year to 3 years,Borrowings_Over 3 years to 5 years,Borrowings_Over 5 years,Borrowings_Total Of Borrowings,Investments (at book value)_1 - 14 days,Investments (at book value)_15 - 28 days,Investments (at book value)_29 days to 3 months,Investments (at book value)_Over 3 months to 6 months,Investments (at book value)_Over 6 months to 1 year,Investments (at book value)_Over 1 year to 3 years,Investments (at book value)_Over 3 years to 5 years,Investments (at book value)_Over 5 years,Investments (at book value)_,Foreign Currency Assets_1 - 14 days,Foreign Currency Assets_15 - 28 days,Foreign Currency Assets_29 days to 3 months,Foreign Currency Assets_Over 3 months to 6 months,Foreign Currency Assets_Over 6 months to 1 year,Foreign Currency Assets_Over 1 year to 3 years,Foreign Currency Assets_Over 3 years to 5 years,Foreign Currency Assets_Over 5 years,Foreign Currency Assets_Total of Foreign Currency Assets,Foreign Currency Liabilities_1 - 14 days,Foreign Currency Liabilities_15 - 28 days,Foreign Currency Liabilities_29 days to 3 months,Foreign Currency Liabilities_Over 3 months to 6 months,Foreign Currency Liabilities_Over 6 months to 1 year,Foreign Currency Liabilities_Over 1 year to 3 years,Foreign Currency Liabilities_Over 3 years to 5 years,Foreign Currency Liabilities_Over 5 years,Foreign Currency Liabilities_Total of Foreign Currency Liabilities,Loans and Advances_1 - 14 days,Loans and Advances_15 - 28 days,Loans and Advances_29 days to 3 months,Loans and Advances_Over 3 months to 6 months,Loans and Advances_Over 6 months to 1 year,Loans and Advances_Over 1 year to 3 years,Loans and Advances_Over 3 years to 5 years,Loans and Advances_Over 5 years,Loans and Advances_Total of Loans and Advances
2025,2025-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,14340.08,12006.14,30048.02,40228.97,71825.88,35735.0,10063.13,79294.97,293542.18,5082.53,,2301.15,1032.76,4296.11,12821.02,2653.91,500.0,28687.49,1980.69,552.11,2003.27,634.67,2047.33,11520.41,17963.17,57570.85,94272.49,5873.0,1613.0,7580.0,7090.0,9145.0,16880.0,6322.0,1526.0,56029.0,1576.0,976.0,8568.0,9646.0,14825.0,18736.0,2475.0,4005.0,60807.0,11009.52,3583.29,11582.59,12105.11,18559.47,30152.5,23625.62,104516.48,215134.58
2025,2025-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,92585.26,34228.26,109796.54,141776.3,220469.72,136118.36,80833.79,493941.29,1309749.52,459.15,,968.87,164.03,1556.76,7257.11,1032.98,15902.89,27341.79,77865.06,156.14,22826.19,3728.29,22655.66,42046.56,33955.69,151147.81,354381.4,17342.16,6216.13,17443.71,14128.09,11889.51,7332.49,15082.23,5178.38,94612.7,3531.82,3213.85,10918.27,9264.51,11682.65,8493.59,7031.03,4257.41,58393.13,47970.12,25011.78,85366.37,80590.91,90288.04,346062.79,97175.66,181047.67,953513.34
2025,2025-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,824253.44,343755.43,965726.05,952940.78,2532012.92,3086185.45,1532514.26,3958881.86,14196270.18,191274.63,47410.67,92730.59,125769.22,171079.4,189350.77,87189.83,279220.69,1184025.81,345355.15,42587.72,127914.31,109460.43,294036.57,574529.69,655778.26,2118429.73,4268091.84,250798.25,124541.85,262714.66,239749.72,225867.73,397047.21,211634.63,130645.29,1842999.34,213150.62,129947.94,267559.72,258295.83,289905.68,246478.68,121328.4,73573.82,1600240.69,371132.39,254209.52,698181.75,699537.6,1026712.91,3881020.98,1240722.12,2578717.22,10750234.48
2025,2025-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,88972.05,43916.84,106077.6,97622.04,160994.43,76932.86,5901.19,592535.01,1172952.02,738.62,3330.65,15832.94,31003.11,33639.38,67288.9,7567.74,24745.18,184146.52,192353.54,13959.21,24248.94,14964.04,23495.77,23825.03,3977.25,99318.01,396141.79,25810.89,5485.67,18092.97,10743.45,4796.35,4513.33,3722.42,25525.34,98690.42,4835.22,4107.89,16544.05,22387.51,16484.63,18279.92,4085.9,11435.14,98160.26,47446.69,22683.85,91626.16,40740.37,76796.43,217950.51,121820.19,421747.12,1040811.32
2025,2025-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,False,5993.3,3036.6,6903.15,15790.59,38267.21,59530.78,9719.97,11970.89,151212.5,477.54,253.69,4740.42,970.75,1789.25,2449.48,457.36,,11138.49,427.59,447.98,1914.68,2450.57,2627.58,2617.6,5843.6,24382.69,40712.28,31.87,,6.41,,41.03,,,,79.31,430.2,213.92,4275.68,221.88,10.15,125.07,0.48,,5277.38,5326.35,1969.29,10531.75,14935.74,22384.85,37603.36,9977.89,29258.08,131987.32
2025,2025-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,False,6909.53,2617.11,5150.22,4578.6,7704.06,35555.12,840.58,170.73,63525.95,400.68,,37.4,56.02,852.52,822.79,,,2169.41,8625.07,490.83,942.37,797.52,1343.66,4834.7,147.21,154.79,17336.14,1561.74,1482.93,364.75,668.11,573.0,640.75,32.23,0.44,5323.95,1460.53,861.17,202.53,627.99,617.96,852.62,33.9,,4656.7,4250.62,941.03,3550.79,4185.05,10944.03,19830.57,3933.85,4445.31,52081.25
2025,2025-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,False,3068.95,1807.32,5757.42,3405.86,2915.17,9094.14,947.78,9864.86,36861.49,1102.37,33.35,86.87,964.28,1302.42,2057.0,,,5546.28,4460.26,404.75,923.15,726.59,546.05,1918.08,294.71,2115.74,11389.34,212.06,73.09,321.47,857.36,3265.26,30.47,,,4759.7,203.17,90.93,97.75,326.51,1890.22,2125.15,10.96,0.34,4745.03,657.54,680.78,3259.44,4135.89,7166.71,9193.93,4432.95,1979.81,31507.05
2025,2025-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,False,1671.22,847.75,6023.53,4781.2,17193.86,13557.83,15177.23,778.33,60030.95,2943.64,25.5,314.89,1162.59,2021.08,1847.92,799.56,,9115.18,6141.71,1105.75,1423.42,1331.3,3635.37,3692.42,2579.29,240.64,20149.9,283.63,942.66,90.64,1806.0,3923.91,89.8,,6.54,7143.19,194.61,937.8,169.92,1849.84,4263.79,466.27,78.67,,7960.91,2105.73,321.88,1462.11,1780.14,7047.43,13960.62,5284.93,19084.07,51046.91
2025,2025-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,False,1088.39,727.55,1326.81,2322.13,4099.55,6200.18,209.34,39.52,16013.45,200.0,,,,,,,,200.0,19.99,,395.6,448.86,793.49,1117.99,256.49,922.73,3955.15,42.1,1.88,26.47,21.82,47.16,,,,139.43,23.48,2.1,6.41,9.71,55.52,20.8,0.78,,118.8,292.76,509.56,1226.41,2607.98,1989.91,1950.18,895.21,2487.48,11959.49
2025,2025-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,False,8351.25,3704.54,21183.77,24710.67,53358.9,123373.19,23430.3,25534.85,283647.47,6266.01,924.28,2847.11,4864.81,2372.84,3240.0,10.0,3201.25,23726.3,12373.52,413.53,3651.73,2537.3,4489.32,11654.62,14935.33,16190.26,66245.61,7449.57,2436.05,1775.94,2054.08,526.52,1017.78,904.48,109.94,16274.36,551.91,554.46,1909.75,2704.78,3903.11,691.02,107.76,,10422.79,4616.12,3955.38,15287.03,19435.93,26105.31,107178.21,21228.58,37029.83,234836.39
2025,2025-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,False,185623.92,61456.35,179726.17,169313.13,359512.02,899764.63,16490.93,842827.75,2714714.9,19525.4,14298.79,44597.81,39529.04,57770.24,133233.08,80745.37,158231.16,547930.89,303288.2,30964.97,41117.41,33222.16,56577.62,163813.34,21387.18,185988.79,836359.67,63153.42,13654.68,25979.34,15872.6,11357.27,7396.6,2085.55,664.86,140164.32,16815.82,9736.13,21008.38,25911.17,51491.68,73441.79,15044.79,7679.98,221129.74,43165.06,40050.13,131705.34,151419.62,236048.05,1086198.06,298935.62,632086.74,2619608.62
2025,2025-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,False,181879.62,43083.4,98596.77,97133.11,134847.7,195870.37,431647.9,427289.16,1610348.02,3188.24,5679.02,13040.4,19219.72,22066.1,26351.82,13619.7,20373.25,123538.26,195858.74,28496.82,20615.5,21646.7,28773.31,39510.84,70100.72,99754.12,504756.74,68178.71,12822.37,24013.1,20779.06,13379.75,4007.08,1512.56,5677.03,150369.66,12086.1,8012.64,13685.62,17712.44,19930.37,23226.52,636.93,1111.91,96402.53,37393.53,39157.45,107878.14,84770.53,133758.59,365529.57,271484.68,301793.68,1341766.16
2025,2025-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,False,16540.84,5974.14,21383.77,15263.49,54320.05,163419.18,14784.8,18607.28,310293.55,703.16,841.93,2517.57,1660.5,6361.7,7792.43,5.0,,19882.28,49210.92,4381.61,5420.99,4973.64,12472.68,26128.47,4185.73,10693.49,117467.53,14630.26,20766.61,26563.78,41785.29,26309.31,8016.17,3289.81,4522.57,145883.79,12490.51,18412.85,21329.22,20938.25,28683.41,4885.62,386.17,19233.35,126359.38,4642.53,5977.77,19370.1,11293.4,16625.91,64375.61,15533.24,80580.59,218399.16
2025,2025-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,False,16868.39,8306.49,20590.57,21278.08,61060.41,71580.11,51948.98,432.2,252065.25,7597.48,1289.95,7482.28,2213.68,8885.86,9956.2,1549.4,,38974.84,32851.6,1942.23,6601.26,4373.37,10913.53,14123.45,7256.76,2653.33,80715.52,647.77,90.05,534.06,334.66,289.94,123.76,52.48,99.14,2171.86,234.4,342.79,3931.0,734.83,1310.72,1200.62,459.12,,8213.47,10801.54,6911.89,14108.05,18962.38,30117.62,84391.42,22653.11,45166.52,233112.53
2025,2025-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,False,42048.73,17108.95,45662.96,52364.23,67747.81,82434.7,24878.46,78832.3,411078.14,568.4,592.38,6845.61,10648.61,11071.11,18917.6,625.14,4434.71,53703.55,35517.12,3812.47,9098.63,9059.96,15791.7,20203.62,6030.91,14982.39,114496.8,9769.39,1060.51,4055.5,6735.65,659.54,1100.59,289.83,70.1,23741.1,4737.7,2632.95,6371.65,10669.14,7324.73,23148.19,6450.87,2482.22,63817.47,21942.27,15640.9,32356.37,31368.29,52801.07,122010.17,36725.12,32174.45,345018.63
2025,2025-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,False,9456.47,3404.27,8028.43,8180.92,16063.77,52554.68,34565.83,16315.09,148569.46,,,1000.0,,,1.84,1381.0,,2382.84,4284.69,49.98,3052.63,1814.49,5696.22,6073.57,6948.6,13292.48,41212.66,630.27,179.2,164.29,103.76,127.87,11.26,,,1216.65,630.27,179.2,164.29,103.76,127.87,11.26,,,1216.65,4360.04,863.11,4684.56,3456.02,7022.57,53491.05,17068.86,13252.51,104198.72
2025,2025-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,False,5037.93,2536.39,6811.5,8199.01,7027.27,46143.9,2728.34,26323.16,104807.49,16.91,,33.82,315.94,706.53,567.35,,300.0,1940.55,7183.72,390.4,1416.23,1375.11,1498.99,7402.65,629.17,4640.24,24536.51,1207.72,38.09,666.66,443.11,433.67,163.2,12.08,,2964.54,1574.03,47.96,634.6,425.58,232.46,,,,2914.64,838.55,2558.33,8479.19,6044.67,10368.62,25078.11,6180.18,16993.85,76541.48
2025,2025-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,False,2517.44,2003.43,8107.06,6798.82,14169.45,21282.86,15276.39,31922.54,102077.99,4.6,20.48,17.92,370.0,100.64,703.34,,,1216.98,8231.11,759.98,1423.07,2105.91,4709.55,3610.58,1362.81,1628.24,23831.25,447.18,103.05,385.48,91.86,2.78,9.84,35.88,41.95,1118.02,175.54,46.77,45.87,78.82,305.35,594.64,27.24,0.09,1274.32,3831.67,1789.94,6306.67,8338.78,13251.1,29098.55,5418.35,15969.46,84004.54
2025,2025-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,False,46840.39,18538.56,39756.34,47987.23,87839.76,255362.2,2334.23,396.43,499055.14,29891.95,783.79,3714.3,2384.68,832.88,4729.82,3210.34,2895.0,48442.76,72139.41,20129.13,12459.71,8927.13,15955.97,41878.11,2026.52,8391.47,181907.45,16895.07,1572.65,7337.49,2083.82,1657.07,3314.44,4086.99,312.97,37260.5,2443.71,1563.12,3303.95,1600.52,4303.05,9244.39,1412.79,1091.08,24962.61,11376.59,9391.86,27304.1,16828.62,58148.36,181613.23,44977.17,77269.27,426909.2
2025,2025-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,False,641.32,299.67,775.44,1004.34,1717.64,3786.03,23.22,8.16,8255.82,,,,,,,,,,378.19,164.65,128.96,176.89,308.94,640.33,4.54,54.39,1856.89,,,,,,,,,,,,,,,,,,,202.56,209.0,258.9,434.4,217.45,1881.25,494.81,965.57,4663.94
2025,2025-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,False,5939.45,5964.33,17380.0,16399.88,34580.8,23017.47,4353.34,3308.25,110943.53,34.98,248.81,2923.3,2715.24,2920.59,4890.92,,,13733.84,9034.92,1098.42,2370.63,5081.53,6591.66,4067.25,628.71,3291.62,32164.75,1899.26,478.99,1229.07,1107.07,717.68,2600.61,685.8,246.58,8965.05,418.51,443.59,3234.93,1380.24,2007.13,2874.03,900.29,19.35,11278.05,10373.09,6528.55,14061.87,6758.54,9600.38,23900.14,7714.78,13680.93,92618.27
2025,2025-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,False,1987.1,1951.23,4701.19,6223.12,13507.84,5640.81,588.89,72925.41,107525.6,2630.04,,96.38,377.8,331.26,375.0,490.0,,4300.48,3154.28,1026.02,3231.37,3006.5,7547.63,2690.41,484.63,636.35,21777.18,2094.26,756.6,83.22,369.04,457.7,,,,3760.82,238.11,24.38,143.85,354.09,1006.17,1173.32,6.04,,2945.96,2757.16,4082.68,12508.01,11392.68,7748.76,8244.66,4715.03,34233.09,85682.07
2025,2025-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,False,2221.81,1111.98,4774.63,3076.79,6133.0,34208.07,719.8,1442.87,53688.96,,,,100.0,200.0,200.0,,,500.0,4558.19,816.45,1146.98,783.27,1244.98,5842.7,197.06,511.16,15100.8,586.54,144.26,313.42,101.58,0.77,6.05,5.68,0.6,1158.88,66.29,35.26,39.55,74.96,215.69,321.94,78.65,,832.34,2065.8,1650.5,3547.26,4982.84,11166.61,13734.51,2117.8,4718.35,43983.67
2025,2025-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,False,21824.58,15341.46,25145.84,24528.72,44540.02,49000.97,102634.81,1508.74,284525.13,3041.64,235.37,6182.0,9401.07,18517.77,29220.49,3917.0,1087.63,71602.97,29737.38,5390.48,5018.2,4567.08,8266.22,11664.94,17531.9,2928.27,85104.48,7280.83,2166.63,4343.8,3502.12,571.57,1953.23,1252.25,1882.71,22953.16,1226.63,834.44,3553.45,4018.03,6688.27,7759.61,4675.43,283.32,29039.18,9002.16,7836.1,13845.7,11598.06,17723.14,134719.67,18096.71,33366.94,246188.47
2025,2025-03-31,PRIVATE SECTOR BANKS,PRIVATE SECTOR BANKS,True,655482.67,243738.38,633863.18,630961.96,1187600.72,2228310.07,759202.31,2163033.51,8502192.81,79331.65,28557.98,112311.02,127957.82,171742.17,314645.99,114377.61,215268.17,1164192.43,979830.15,116245.66,146601.46,124369.92,213280.26,397310.7,166809.12,492771.18,2637218.45,222812.53,64255.96,116347.85,109460.45,69138.16,34994.96,17968.04,39160.77,674138.71,60836.74,49080.36,100652.45,112130.07,150852.28,170442.77,34396.75,43336.77,721728.19,227448.36,173709.98,523357.95,455469.93,757032.91,2601933.37,919689.06,1818283.62,7476925.17
2025,2025-03-31,AB BANK PLC,FOREIGN BANKS,False,4.02,1.54,7.77,8.53,18.06,208.12,,,248.04,,,,,,,,,,9.98,9.97,4.99,,,25.0,5.0,77.34,132.28,8.06,14.88,66.44,64.71,88.42,,,,242.51,3.45,1.3,5.77,8.37,17.21,204.59,,,240.7,1.37,8.19,36.81,21.7,5.31,,,,73.37
2025,2025-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,False,369.15,532.72,485.01,410.01,1354.51,2006.19,,,5157.6,417.8,,0.04,,559.98,1787.97,,,2765.78,3389.54,136.3,74.45,55.71,197.31,795.01,,12.26,4660.58,,108.89,,,,,,,108.89,72.98,85.54,1.35,,580.29,1787.97,,,2528.13,2186.95,2499.38,413.21,272.54,351.94,416.62,37.82,16.31,6194.76
2025,2025-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,False,1122.58,1747.85,4049.97,157.04,13.46,932.95,,,8023.85,18278.97,,,,,,,,18278.97,21896.99,198.83,532.25,3.88,2.37,167.27,0.01,0.1,22801.69,1474.94,1283.73,257.83,0.0,,,,42.74,3059.24,214.18,0.03,37.66,,,146.08,,,397.95,945.95,783.58,582.85,192.93,305.15,1420.8,92.42,,4323.67
2025,2025-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,False,24726.45,7398.34,4449.98,2814.17,1652.11,25733.28,4.47,1.29,66780.09,32486.37,,8.55,,,8.55,,,32503.47,62249.63,5589.0,890.96,472.94,277.65,4908.71,204.1,4787.96,79380.95,5371.19,211.06,3080.95,94.02,,,,166.78,8924.01,585.11,,2506.81,,,4662.81,,,7754.73,5626.32,3997.72,6698.32,6002.29,5360.09,6078.6,728.93,,34492.26
2025,2025-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,False,91.61,81.47,156.35,182.96,493.18,862.7,29.54,,1897.79,14.99,,,,,,,,14.99,,,158.21,,199.2,59.85,86.0,97.29,600.55,69.2,,32.44,,,152.61,,16.67,270.92,13.25,14.92,16.88,38.63,87.87,102.94,0.28,,274.76,97.03,81.67,100.16,24.41,114.31,895.58,75.8,26.1,1415.07
2025,2025-03-31,BANK OF CEYLON,FOREIGN BANKS,False,8.24,7.68,8.87,32.28,30.99,148.5,22.71,,259.27,8.55,,17.1,8.54,,,,,34.19,10.1,0.27,1.61,9.63,13.78,43.02,3.97,,82.38,6.79,,,,,,,,6.79,,,,,,,,,,47.19,98.96,108.15,89.16,96.11,1.9,2.15,,443.62
2025,2025-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,False,20.95,3.0,0.52,2.05,1.02,,,,27.54,,,,,,,,,,,,55.07,35.3,,70.08,,,160.45,0.13,,,,,,,,0.13,,,,16.89,1.71,11.47,0.17,3.15,33.4,10.0,25.0,35.0,,,91.67,,,161.67
2025,2025-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,False,5.07,0.87,1.28,,13.17,0.04,,,20.44,,,,,,,,,,1225.68,1.16,10.5,,2.76,0.42,,0.0,1240.52,7.95,,,,,,,,7.95,0.0,,,,,0.06,,,0.06,,0.01,0.02,0.03,0.07,0.26,0.26,1.59,2.24
