LAF Auction Date,Report Date,Year,Repo (Fixed Rate)_Repo/Reverse Repo Period (Days),Repo (Fixed Rate)_Bids Received_Number,Repo (Fixed Rate)_Bids Received_Amount,Repo (Fixed Rate)_Bids Accepted_Number,Repo (Fixed Rate)_Bids Accepted_Amount,Repo (Fixed Rate)_Cut-off Rate (%),Reverse Repo (Fixed Rate)_Bids Received_Number,Reverse Repo (Fixed Rate)_Bids Received_Amount,Reverse Repo (Fixed Rate)_Bids Accepted_Number,Reverse Repo (Fixed Rate)_Bids Accepted_Amount,Reverse Repo (Fixed Rate)_Cut-off Rate (%),Repo (Variable Rate)_Period (Days),Repo (Variable Rate)_Bids Received_Number,Repo (Variable Rate)_Bids Received_Amount,Repo (Variable Rate)_Bids Accepted_Number,Repo (Variable Rate)_Bids Accepted_Amount,Repo (Variable Rate)_Cut-off Rate (%),Reverse Repo (Variable Rate)_Period (Days),Reverse Repo (Variable Rate)_Bids Received_Number,Reverse Repo (Variable Rate)_Bids Received_Amount,Reverse Repo (Variable Rate)_Bids Accepted_Number,Reverse Repo (Variable Rate)_Bids Accepted_Amount,Reverse Repo (Variable Rate)_Cut-off Rate (%)
"Jul 04, 2024",2024-07-04,2024,,,,,,,,,,,,,,,,,,1.0,27.0,33020.0,27.0,33020.0,0.0
"Jul 03, 2024",2024-07-03,2024,,,,,,,,,,,,,,,,,,2.0,22.0,25145.0,22.0,25145.0,0.0
"Jul 02, 2024",2024-07-02,2024,,,,,,,,,,,,,,,,,,3.0,22.0,38227.0,22.0,38227.0,0.0
"Jul 01, 2024",2024-07-01,2024,,,,,,,,,,,,,,,,,,4.0,2.0,4200.0,2.0,4200.0,0.0
"Jun 28, 2024",2024-06-28,2024,,,,,,,,,,,,3.0,54.0,88625.0,47.0,50003.0,0.0,,,,,,
"Jun 24, 2024",2024-06-24,2024,,,,,,,,,,,,4.0,21.0,38890.0,21.0,25005.0,0.0,,,,,,
"Jun 21, 2024",2024-06-21,2024,,,,,,,,,,,,6.0,93.0,164040.0,50.0,100005.0,0.0,,,,,,
"Jun 18, 2024",2024-06-18,2024,,,,,,,,,,,,3.0,76.0,157800.0,56.0,100002.0,0.0,,,,,,
"Jun 14, 2024",2024-06-14,2024,,,,,,,,,,,,14.0,98.0,135514.0,61.0,75001.0,0.0,,,,,,
"Jun 04, 2024",2024-06-04,2024,,,,,,,,,,,,,,,,,,3.0,30.0,44430.0,30.0,44430.0,0.0
"May 31, 2024",2024-05-31,2024,,,,,,,,,,,,14.0,78.0,113915.0,43.0,50004.0,0.0,,,,,,
"May 27, 2024",2024-05-27,2024,,,,,,,,,,,,4.0,66.0,97885.0,53.0,75007.0,0.0,,,,,,
"May 24, 2024",2024-05-24,2024,,,,,,,,,,,,3.0,90.0,139365.0,90.0,125008.0,0.0,,,,,,
"May 22, 2024",2024-05-22,2024,,,,,,,,,,,,2.0,59.0,71830.0,59.0,71830.0,0.0,,,,,,
"May 21, 2024",2024-05-21,2024,,,,,,,,,,,,3.0,82.0,197142.0,8.0,125002.0,0.0,,,,,,
"May 17, 2024",2024-05-17,2024,,,,,,,,,,,,14.0,99.0,195115.0,57.0,125009.0,0.0,,,,,,
"May 14, 2024",2024-05-14,2024,,,,,,,,,,,,3.0,71.0,109200.0,27.0,50002.0,0.0,,,,,,
"May 13, 2024",2024-05-13,2024,,,,,,,,,,,,4.0,59.0,86950.0,17.0,25004.0,0.0,,,,,,
"May 09, 2024",2024-05-09,2024,,,,,,,,,,,,1.0,76.0,119190.0,42.0,50003.0,0.0,,,,,,
"May 08, 2024",2024-05-08,2024,,,,,,,,,,,,1.0,48.0,66050.0,19.0,25005.0,0.0,,,,,,
"May 06, 2024",2024-05-06,2024,,,,,,,,,,,,,,,,,,1.0,22.0,26045.0,22.0,26045.0,0.0
"May 03, 2024",2024-05-03,2024,,,,,,,,,,,,14.0,54.0,157698.0,54.0,157698.0,0.0,,,,,,
"Apr 29, 2024",2024-04-29,2024,,,,,,,,,,,,4.0,57.0,97000.0,57.0,97000.0,0.0,,,,,,
"Apr 26, 2024",2024-04-26,2024,,,,,,,,,,,,3.0,21.0,26040.0,21.0,25001.0,0.0,,,,,,
"Apr 25, 2024",2024-04-25,2024,,,,,,,,,,,,4.0,68.0,142875.0,25.0,50008.0,0.0,,,,,,
"Apr 22, 2024",2024-04-22,2024,,,,,,,,,,,,3.0,34.0,73100.0,19.0,25001.0,0.0,,,,,,
"Apr 22, 2024",2024-04-22,2024,,,,,,,,,,,,7.0,61.0,104290.0,28.0,50001.0,0.0,,,,,,
"Apr 19, 2024",2024-04-19,2024,,,,,,,,,,,,14.0,42.0,112273.0,21.0,75001.0,0.0,,,,,,
"Apr 18, 2024",2024-04-18,2024,,,,,,,,,,,,,,,,,,1.0,48.0,103930.0,48.0,75027.0,0.0
"Apr 16, 2024",2024-04-16,2024,,,,,,,,,,,,,,,,,,2.0,41.0,32576.0,41.0,32576.0,0.0
"Apr 05, 2024",2024-04-05,2024,,,,,,,,,,,,,,,,,,14.0,4.0,5511.0,4.0,5511.0,0.0
"Apr 04, 2024",2024-04-04,2024,,,,,,,,,,,,,,,,,,1.0,26.0,37855.0,26.0,37855.0,0.0
"Apr 03, 2024",2024-04-03,2024,,,,,,,,,,,,,,,,,,2.0,29.0,24380.0,29.0,24380.0,0.0
"Apr 02, 2024",2024-04-02,2024,,,,,,,,,,,,,,,,,,3.0,17.0,53430.0,17.0,53430.0,0.0
"Mar 27, 2024",2024-03-27,2024,,,,,,,,,,,,6.0,69.0,131815.0,53.0,75002.0,0.0,,,,,,
"Mar 26, 2024",2024-03-26,2024,,,,,,,,,,,,1.0,62.0,152795.0,45.0,100003.0,0.0,,,,,,
"Mar 22, 2024",2024-03-22,2024,,,,,,,,,,,,4.0,81.0,172780.0,29.0,90705.0,0.0,,,,,,
"Mar 22, 2024",2024-03-22,2024,,,,,,,,,,,,14.0,55.0,105925.0,18.0,25004.0,0.0,,,,,,
"Mar 21, 2024",2024-03-21,2024,,,,,,,,,,,,5.0,37.0,71252.0,22.0,50001.0,0.0,,,,,,
"Mar 15, 2024",2024-03-15,2024,,,,,,,,,,,,7.0,45.0,76560.0,44.0,75001.0,0.0,,,,,,
"Mar 14, 2024",2024-03-14,2024,,,,,,,,,,,,,,,,,,1.0,24.0,39670.0,24.0,39670.0,0.0
"Mar 07, 2024",2024-03-07,2024,,,,,,,,,,,,15.0,166.0,286126.0,68.0,100014.0,0.0,,,,,,
"Mar 06, 2024",2024-03-06,2024,,,,,,,,,,,,,,,,,,1.0,92.0,259586.0,92.0,200054.0,0.0
"Mar 05, 2024",2024-03-05,2024,,,,,,,,,,,,,,,,,,1.0,49.0,84025.0,49.0,84025.0,0.0
"Mar 04, 2024",2024-03-04,2024,,,,,,,,,,,,,,,,,,1.0,15.0,26135.0,15.0,26135.0,0.0
"Mar 04, 2024",2024-03-04,2024,,,,,,,,,,,,,,,,,,3.0,8.0,17900.0,8.0,17900.0,0.0
"Feb 29, 2024",2024-02-29,2024,,,,,,,,,,,,1.0,47.0,43210.0,16.0,25002.0,0.0,,,,,,
"Feb 28, 2024",2024-02-28,2024,,,,,,,,,,,,,,,,,,1.0,28.0,22197.0,28.0,22197.0,0.0
"Feb 26, 2024",2024-02-26,2024,,,,,,,,,,,,3.0,81.0,240910.0,30.0,150006.0,0.0,,,,,,
"Feb 23, 2024",2024-02-23,2024,,,,,,,,,,,,13.0,98.0,204960.0,65.0,100004.0,0.0,,,,,,
"Feb 20, 2024",2024-02-20,2024,,,,,,,,,,,,3.0,40.0,68640.0,34.0,50003.0,0.0,,,,,,
"Feb 16, 2024",2024-02-16,2024,,,,,,,,,,,,7.0,92.0,136986.0,65.0,75007.0,0.0,,,,,,
"Feb 14, 2024",2024-02-14,2024,,,,,,,,,,,,2.0,71.0,111456.0,24.0,25001.0,0.0,,,,,,
"Feb 12, 2024",2024-02-12,2024,,,,,,,,,,,,4.0,157.0,220590.0,47.0,50011.0,0.0,,,,,,
"Feb 09, 2024",2024-02-09,2024,,,,,,,,,,,,3.0,38.0,35120.0,38.0,35120.0,0.0,,,,,,
"Feb 09, 2024",2024-02-09,2024,,,,,,,,,,,,14.0,83.0,242004.0,49.0,175008.0,0.0,,,,,,
"Feb 07, 2024",2024-02-07,2024,,,,,,,,,,,,,,,,,,1.0,53.0,107922.0,53.0,61848.0,0.0
"Feb 06, 2024",2024-02-06,2024,,,,,,,,,,,,,,,,,,1.0,32.0,69342.0,32.0,69342.0,0.0
"Feb 05, 2024",2024-02-05,2024,,,,,,,,,,,,,,,,,,4.0,12.0,18750.0,12.0,18750.0,0.0
"Feb 02, 2024",2024-02-02,2024,,,,,,,,,,,,,,,,,,4.0,6.0,3975.0,6.0,3975.0,0.0
"Jan 30, 2024",2024-01-30,2024,,,,,,,,,,,,1.0,22.0,69060.0,11.0,25008.0,0.0,,,,,,
"Jan 29, 2024",2024-01-29,2024,,,,,,,,,,,,2.0,30.0,73290.0,7.0,25001.0,0.0,,,,,,
"Jan 25, 2024",2024-01-25,2024,,,,,,,,,,,,15.0,91.0,308024.0,71.0,250010.0,0.0,,,,,,
"Jan 23, 2024",2024-01-23,2024,,,,,,,,,,,,2.0,61.0,197475.0,46.0,125005.0,0.0,,,,,,
"Jan 19, 2024",2024-01-19,2024,,,,,,,,,,,,4.0,63.0,135211.0,20.0,50007.0,0.0,,,,,,
"Jan 12, 2024",2024-01-12,2024,,,,,,,,,,,,13.0,131.0,392484.0,50.0,175010.0,0.0,,,,,,
"Jan 05, 2024",2024-01-05,2024,,,,,,,,,,,,7.0,129.0,277402.0,38.0,100009.0,0.0,,,,,,
"Dec 29, 2023",2023-12-29,2023,,,,,,,,,,,,7.0,93.0,301274.0,48.0,125020.0,0.0,,,,,,
"Dec 27, 2023",2023-12-27,2023,,,,,,,,,,,,2.0,86.0,158399.0,31.0,50007.0,0.0,,,,,,
"Dec 22, 2023",2023-12-22,2023,,,,,,,,,,,,7.0,179.0,425154.0,74.0,175013.0,0.0,,,,,,
"Dec 15, 2023",2023-12-15,2023,,,,,,,,,,,,7.0,143.0,273354.0,59.0,100006.0,0.0,,,,,,
"Dec 01, 2023",2023-12-01,2023,,,,,,,,,,,,,,,,,,14.0,5.0,22468.0,5.0,22468.0,0.0
"Nov 17, 2023",2023-11-17,2023,,,,,,,,,,,,,,,,,,14.0,4.0,22442.0,4.0,22442.0,0.0
"Nov 03, 2023",2023-11-03,2023,,,,,,,,,,,,,,,,,,14.0,4.0,20482.0,4.0,20482.0,0.0
"Oct 20, 2023",2023-10-20,2023,,,,,,,,,,,,,,,,,,14.0,5.0,5354.0,5.0,5354.0,0.0
"Oct 06, 2023",2023-10-06,2023,,,,,,,,,,,,,,,,,,14.0,9.0,6668.0,9.0,6668.0,0.0
"Sep 22, 2023",2023-09-22,2023,,,,,,,,,,,,,,,,,,14.0,6.0,5995.0,6.0,5995.0,0.0
"Sep 08, 2023",2023-09-08,2023,,,,,,,,,,,,,,,,,,14.0,12.0,18670.0,12.0,18670.0,0.0
"Aug 25, 2023",2023-08-25,2023,,,,,,,,,,,,,,,,,,14.0,12.0,22419.0,12.0,22419.0,6.49
"Aug 25, 2023",2023-08-25,2023,,,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2023",2023-08-11,2023,,,,,,,,,,,,,,,,,,14.0,18.0,34139.0,18.0,34139.0,6.49
"Aug 11, 2023",2023-08-11,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 20, 2023",2023-07-20,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 19, 2023",2023-07-19,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 18, 2023",2023-07-18,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 17, 2023",2023-07-17,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 16, 2023",2023-07-16,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 15, 2023",2023-07-15,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 14, 2023",2023-07-14,2023,,,,,,,,,,,,,,,,,,14.0,34.0,59875.0,34.0,59875.0,6.49
"Jul 13, 2023",2023-07-13,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2023",2023-07-12,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 11, 2023",2023-07-11,2023,,,,,,,,,,,,,,,,,,3.0,32.0,40291.0,32.0,40291.0,6.49
"Jul 10, 2023",2023-07-10,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 09, 2023",2023-07-09,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 08, 2023",2023-07-08,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 07, 2023",2023-07-07,2023,,,,,,,,,,,,,,,,,,4.0,33.0,106224.0,33.0,106224.0,6.49
"Jul 06, 2023",2023-07-06,2023,,,,,,,,,,,,,,,,,,1.0,25.0,39000.0,25.0,39000.0,6.49
"Jul 05, 2023",2023-07-05,2023,,,,,,,,,,,,,,,,,,2.0,28.0,87870.0,28.0,87870.0,6.49
"Jul 04, 2023",2023-07-04,2023,,,,,,,,,,,,,,,,,,2.0,23.0,67295.0,23.0,67295.0,6.49
"Jul 03, 2023",2023-07-03,2023,,,,,,,,,,,,,,,,,,2.0,21.0,63843.0,21.0,63843.0,6.49
"Jul 02, 2023",2023-07-02,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jul 01, 2023",2023-07-01,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 30, 2023",2023-06-30,2023,,,,,,,,,,,,,,,,,,14.0,14.0,11789.0,14.0,11789.0,6.49
"Jun 30, 2023",2023-06-30,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 29, 2023",2023-06-29,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 28, 2023",2023-06-28,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 27, 2023",2023-06-27,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2023",2023-06-26,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 25, 2023",2023-06-25,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 24, 2023",2023-06-24,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 23, 2023",2023-06-23,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 22, 2023",2023-06-22,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 21, 2023",2023-06-21,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 20, 2023",2023-06-20,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 19, 2023",2023-06-19,2023,,,,,,,,,,,,4.0,36.0,75695.0,36.0,75004.0,6.51,,,,,,
"Jun 18, 2023",2023-06-18,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 17, 2023",2023-06-17,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 16, 2023",2023-06-16,2023,,,,,,,,,,,,,,,,,,14.0,22.0,16331.0,22.0,16331.0,6.49
"Jun 15, 2023",2023-06-15,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 14, 2023",2023-06-14,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 13, 2023",2023-06-13,2023,,,,,,,,,,,,,,,,,,2.0,21.0,29231.0,21.0,29231.0,6.49
"Jun 12, 2023",2023-06-12,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 11, 2023",2023-06-11,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 10, 2023",2023-06-10,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 09, 2023",2023-06-09,2023,,,,,,,,,,,,,,,,,,4.0,4.0,5780.0,4.0,5780.0,6.49
"Jun 08, 2023",2023-06-08,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 07, 2023",2023-06-07,2023,,,,,,,,,,,,,,,,,,2.0,3.0,1850.0,3.0,1850.0,6.49
"Jun 07, 2023",2023-06-07,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 06, 2023",2023-06-06,2023,,,,,,,,,,,,,,,,,,3.0,15.0,32375.0,15.0,32375.0,6.49
"Jun 06, 2023",2023-06-06,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 06, 2023",2023-06-06,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 05, 2023",2023-06-05,2023,,,,,,,,,,,,,,,,,,4.0,26.0,66640.0,26.0,66640.0,6.49
"Jun 05, 2023",2023-06-05,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 04, 2023",2023-06-04,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 02, 2023",2023-06-02,2023,,,,,,,,,,,,,,,,,,14.0,32.0,50868.0,32.0,50868.0,6.49
"Jun 02, 2023",2023-06-02,2023,,,,,,,,,,,,,,,,,,,,,,,
"Jun 01, 2023",2023-06-01,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 31, 2023",2023-05-31,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 30, 2023",2023-05-30,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 29, 2023",2023-05-29,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 28, 2023",2023-05-28,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 26, 2023",2023-05-26,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 24, 2023",2023-05-24,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 23, 2023",2023-05-23,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 22, 2023",2023-05-22,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 21, 2023",2023-05-21,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 19, 2023",2023-05-19,2023,,,,,,,,,,,,14.0,23.0,46790.0,23.0,46790.0,6.51,,,,,,
"May 19, 2023",2023-05-19,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 18, 2023",2023-05-18,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 17, 2023",2023-05-17,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 16, 2023",2023-05-16,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 15, 2023",2023-05-15,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 14, 2023",2023-05-14,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 12, 2023",2023-05-12,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 11, 2023",2023-05-11,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 10, 2023",2023-05-10,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 09, 2023",2023-05-09,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2023",2023-05-08,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 07, 2023",2023-05-07,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 05, 2023",2023-05-05,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 04, 2023",2023-05-04,2023,,,,,,,,,,,,,,,,,,15.0,12.0,8447.0,12.0,8447.0,6.49
"May 04, 2023",2023-05-04,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 03, 2023",2023-05-03,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 02, 2023",2023-05-02,2023,,,,,,,,,,,,,,,,,,,,,,,
"May 01, 2023",2023-05-01,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 30, 2023",2023-04-30,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 28, 2023",2023-04-28,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 27, 2023",2023-04-27,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 26, 2023",2023-04-26,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 25, 2023",2023-04-25,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 24, 2023",2023-04-24,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 23, 2023",2023-04-23,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 21, 2023",2023-04-21,2023,,,,,,,,,,,,,,,,,,13.0,25.0,20480.0,25.0,20480.0,6.49
"Apr 21, 2023",2023-04-21,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 19, 2023",2023-04-19,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 18, 2023",2023-04-18,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 17, 2023",2023-04-17,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 16, 2023",2023-04-16,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 14, 2023",2023-04-14,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 13, 2023",2023-04-13,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 12, 2023",2023-04-12,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 11, 2023",2023-04-11,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 10, 2023",2023-04-10,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 09, 2023",2023-04-09,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 07, 2023",2023-04-07,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 06, 2023",2023-04-06,2023,,,,,,,,,,,,,,,,,,15.0,48.0,124200.0,48.0,124200.0,6.49
"Apr 06, 2023",2023-04-06,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 05, 2023",2023-04-05,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 04, 2023",2023-04-04,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 03, 2023",2023-04-03,2023,,,,,,,,,,,,,,,,,,,,,,,
"Apr 02, 2023",2023-04-02,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 30, 2023",2023-03-30,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 29, 2023",2023-03-29,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 28, 2023",2023-03-28,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 27, 2023",2023-03-27,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 26, 2023",2023-03-26,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 24, 2023",2023-03-24,2023,,,,,,,,,,,,5.0,39.0,55885.0,39.0,55885.0,6.51,,,,,,
"Mar 24, 2023",2023-03-24,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 22, 2023",2023-03-22,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 21, 2023",2023-03-21,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 20, 2023",2023-03-20,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 19, 2023",2023-03-19,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 17, 2023",2023-03-17,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 16, 2023",2023-03-16,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 15, 2023",2023-03-15,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 14, 2023",2023-03-14,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 13, 2023",2023-03-13,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 12, 2023",2023-03-12,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 10, 2023",2023-03-10,2023,,,,,,,,,,,,14.0,47.0,82500.0,47.0,82500.0,6.51,,,,,,
"Mar 10, 2023",2023-03-10,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 09, 2023",2023-03-09,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 08, 2023",2023-03-08,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 07, 2023",2023-03-07,2023,,,,,,,,,,,,,,,,,,,,,,,
"Mar 06, 2023",2023-03-06,2023,,,,,,,,,,,,,,,,,,,,,,,
