Year,Report Date,Bank Name,Bank Type,Is_Aggregate,Gross NPAs_Opening Balance,Gross NPAs_Addition,Gross NPAs_Reduction,Gross NPAs_Write-off,Gross NPAs_Closing Balance,Net NPAs_Opening Balance,Net NPAs_Closing Balance
2025,2025-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,False,4784.88,5379.01,1212.12,2516.21,6435.56,1347.61,1692.84
2025,2025-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,False,1854.43,814.96,834.44,196.78,1638.17,898.68,653.07
2025,2025-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,False,361.07,228.75,68.69,22.66,498.46,124.9,163.53
2025,2025-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,False,1353.47,1523.96,1203.29,119.71,1554.43,454.33,571.55
2025,2025-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,False,421.21,152.26,141.58,67.78,364.11,126.47,117.94
2025,2025-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,False,4528.87,1847.13,1289.24,711.22,4375.54,1255.33,1040.38
2025,2025-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,False,31173.32,31977.43,16082.31,11845.8,35222.64,8091.74,11320.43
2025,2025-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,False,27313.87,20201.13,13796.96,10194.94,23523.1,5377.79,5589.41
2025,2025-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,False,8917.0,1923.0,3021.0,1124.0,6695.0,644.0,337.0
2025,2025-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,False,3718.36,8054.78,2479.59,4859.97,4433.58,1160.47,1229.92
2025,2025-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,False,6693.37,10547.73,2114.58,4080.14,11046.38,1968.9,3287.14
2025,2025-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,False,3956.18,952.91,879.85,424.4,3604.84,736.83,818.03
2025,2025-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,False,2578.42,1206.77,1054.58,328.53,2402.08,1129.18,1004.55
2025,2025-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,False,1041.64,481.85,185.11,696.58,641.8,297.97,166.21
2025,2025-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,False,5274.78,6378.62,2776.42,2743.13,6133.85,1270.57,1343.43
2025,2025-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,False,398.67,65.01,73.95,3.53,386.2,41.88,25.92
2025,2025-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,False,2270.97,4112.72,987.49,2930.73,2465.47,619.3,270.79
2025,2025-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,False,3620.34,1176.44,954.23,1042.71,2799.84,1134.58,790.52
2025,2025-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,False,575.06,177.76,169.6,27.09,556.13,335.82,160.45
2025,2025-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,False,3982.56,5090.35,2335.28,2802.02,3935.61,1329.73,800.14
2025,2025-03-31,PRIVATE SECTOR BANKS,PRIVATE SECTOR BANKS,True,129163.5,121734.54,59679.73,58544.32,132674.0,31593.55,35068.7
2025,2025-03-31,AB BANK PLC,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,False,261.88,2006.36,1835.89,137.07,295.28,38.13,37.82
2025,2025-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,False,18.39,4.71,1.18,16.74,5.18,2.89,0.09
2025,2025-03-31,BANK OF CEYLON,FOREIGN BANKS,False,48.02,,12.32,,35.7,12.67,8.7
2025,2025-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,False,0.16,,,0.16,,,
2025,2025-03-31,BNP PARIBAS,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,CITIBANK N.A,FOREIGN BANKS,False,196.06,1282.46,1282.51,91.26,104.76,,
2025,2025-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,False,2.93,,,,2.93,,
2025,2025-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,False,1792.65,822.93,476.66,600.78,1538.14,125.18,150.48
2025,2025-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,False,761.77,1117.47,976.25,260.6,642.39,190.5,187.37
2025,2025-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,False,9.37,,,,9.37,5.46,4.34
2025,2025-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,INDUSTRIAL BANK OF KOREA,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,JSC VTB BANK,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,KEB HANA BANK,FOREIGN BANKS,False,40.41,,22.05,18.36,,,
2025,2025-03-31,KOOKMIN BANK,FOREIGN BANKS,False,10.36,,,10.36,,,
2025,2025-03-31,MASHREQ BANK PSC,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,MIZUHO BANK LTD,FOREIGN BANKS,False,6.34,,,6.34,,,
2025,2025-03-31,"MUFG BANK, LTD.",FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,NATWEST MARKETS PLC,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,NONGHYUP BANK,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,PT BANK MAYBANK INDONESIA TBK,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,QATAR NATIONAL BANK (Q.P.S.C),FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,SBERBANK,FOREIGN BANKS,False,21.88,,8.31,,13.57,,
2025,2025-03-31,SBM BANK (INDIA) LIMITED,FOREIGN BANKS,False,123.63,70.53,21.41,9.83,162.92,28.66,45.94
2025,2025-03-31,SHINHAN BANK,FOREIGN BANKS,False,20.86,30.35,24.7,0.72,25.8,6.44,16.33
2025,2025-03-31,SOCIETE GENERALE,FOREIGN BANKS,False,5.64,,1.69,,3.94,,
2025,2025-03-31,SONALI BANK PLC,FOREIGN BANKS,False,4.5,1.41,0.27,,5.63,0.2,0.69
2025,2025-03-31,STANDARD CHARTERED BANK,FOREIGN BANKS,False,2674.37,1648.29,1251.26,1054.88,2016.53,301.88,285.57
2025,2025-03-31,SUMITOMO MITSUI BANKING CORPORATION,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN BANKS,False,458.13,271.11,179.02,91.27,458.94,50.3,38.6
2025,2025-03-31,UBS AG,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,UNITED OVERSEAS BANK LTD,FOREIGN BANKS,False,,,,,,,
2025,2025-03-31,WOORI BANK,FOREIGN BANKS,False,65.78,,7.6,58.17,,49.33,
2025,2025-03-31,FOREIGN BANKS,FOREIGN BANKS,True,6523.11,7255.62,6101.13,2356.52,5321.08,811.66,775.93
2025,2025-03-31,AU SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,1237.4,3995.6,1584.8,1171.17,2477.03,441.99,832.34
2025,2025-03-31,CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,170.18,84.43,68.77,0.51,185.34,85.08,91.84
2025,2025-03-31,EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,821.28,2031.63,958.82,826.35,1067.73,360.9,354.2
2025,2025-03-31,ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,893.05,1699.94,77.49,1224.93,1290.57,413.79,539.64
2025,2025-03-31,JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,494.33,1859.12,1251.5,352.35,749.6,130.02,254.18
2025,2025-03-31,NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,99.2,194.87,23.75,85.55,184.76,67.06,135.6
2025,2025-03-31,SHIVALIK SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,42.71,63.76,14.91,11.44,80.13,17.63,17.63
2025,2025-03-31,SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,242.37,743.73,22.46,229.81,733.84,69.87,457.02
2025,2025-03-31,UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,612.52,1128.83,180.04,865.44,695.89,76.29,152.43
2025,2025-03-31,UNITY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,360.21,696.52,138.73,248.57,669.43,50.38,169.37
2025,2025-03-31,UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,417.58,2108.17,201.06,470.3,1854.38,4.49,905.27
2025,2025-03-31,SMALL FINANCE BANKS,SMALL FINANCE BANKS,True,5390.84,14606.6,4522.33,5486.42,9988.69,1717.51,3909.52
2025,2025-03-31,AIRTEL PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2025,2025-03-31,FINO PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2025,2025-03-31,INDIA POST PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2025,2025-03-31,PAYTM PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2025,2025-03-31,PAYMENTS BANKS,PAYMENTS BANKS,True,,,,,,,
2024,2024-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,36763.7,10396.53,4729.29,10597.31,31833.63,8384.32,7213.34
2024,2024-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,37685.56,7550.76,6304.5,9749.05,29182.77,8053.61,6845.26
2024,2024-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,4334.0,1255.2,766.18,989.97,3833.05,435.17,408.99
2024,2024-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,46159.0,10626.0,4355.0,11825.0,40605.0,14349.0,11823.0
2024,2024-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,18386.25,5124.35,2168.81,10001.45,11340.34,3591.72,3001.95
2024,2024-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,28179.53,6769.93,5121.93,8721.22,21106.31,4043.07,2222.58
2024,2024-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,14071.55,1648.51,1711.8,7213.83,6794.43,3266.01,1216.85
2024,2024-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,5648.21,971.19,1158.09,795.96,4665.35,1411.5,1350.46
2024,2024-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,77327.67,5826.2,10553.59,16257.23,56343.05,22585.04,6798.77
2024,2024-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,90927.78,20316.9,10806.98,16161.37,84276.33,21466.64,21051.08
2024,2024-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,7726.46,2072.39,1397.62,1937.92,6463.31,2018.02,1621.65
2024,2024-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,60987.29,11876.65,11502.0,18264.21,43097.73,12927.44,8989.92
2024,2024-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,428197.0,84434.61,60575.79,112514.52,339541.3,102531.54,72543.85
2024,2024-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,17019.09,14404.64,8732.66,8346.03,14345.04,3439.11,3247.47
2024,2024-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,False,5298.62,5681.68,1545.08,4650.34,4784.88,1228.27,1347.61
2024,2024-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,False,1920.16,1013.51,815.78,263.46,1854.43,1017.63,898.68
2024,2024-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,False,262.56,175.73,71.13,6.09,361.07,71.82,124.9
2024,2024-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,False,1122.84,1488.39,1146.13,111.63,1353.47,356.92,454.33
2024,2024-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,False,511.15,152.24,151.65,90.53,421.21,109.2,126.47
2024,2024-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,False,4183.77,1741.53,1351.15,45.28,4528.87,1205.01,1255.33
2024,2024-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,False,18019.03,40262.1,16077.86,11029.95,31173.32,4368.43,8091.74
2024,2024-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,False,29986.07,18998.79,15472.74,6198.25,27313.87,5150.07,5377.79
2024,2024-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,False,10969.0,3559.0,2627.0,2984.0,8917.0,1495.0,644.0
2024,2024-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,False,3884.45,5257.78,2440.24,2983.63,3718.36,1304.05,1160.47
2024,2024-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,False,5826.26,6033.05,2695.34,2470.6,6693.37,1714.96,1968.9
2024,2024-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,False,5204.43,1111.62,1747.18,612.69,3956.18,1334.24,736.83
2024,2024-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,False,2292.91,1650.2,937.47,427.22,2578.42,1021.27,1129.18
2024,2024-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,False,1458.15,499.23,261.71,654.03,1041.64,468.15,297.97
2024,2024-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,False,5768.32,5001.11,3236.73,2257.92,5274.78,1193.3,1270.57
2024,2024-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,False,443.26,97.25,92.84,49.0,398.67,78.33,41.88
2024,2024-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,False,2419.86,2441.3,870.18,1720.01,2270.97,772.54,619.3
2024,2024-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,False,3708.26,1395.48,1155.76,327.64,3620.34,1293.61,1134.58
2024,2024-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,False,521.46,502.77,237.94,211.24,575.06,229.83,335.82
2024,2024-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,False,4394.57,5334.04,2984.03,2762.02,3982.56,1658.09,1329.73
2024,2024-03-31,PRIVATE SECTOR BANKS,PRIVATE SECTOR BANKS,True,125214.23,116801.44,64650.6,48201.57,129163.5,29509.83,31593.55
2024,2024-03-31,AB BANK LIMITED,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,False,288.12,1870.46,1798.1,98.59,261.88,41.4,38.13
2024,2024-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,False,,7.75,7.75,,,,
2024,2024-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,False,18.36,0.65,0.42,0.2,18.39,13.4,2.89
2024,2024-03-31,BANK OF CEYLON,FOREIGN BANKS,False,48.88,,0.86,,48.02,16.13,12.67
2024,2024-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,False,0.36,,,0.36,,,
2024,2024-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,False,31.56,,,31.4,0.16,,
2024,2024-03-31,BNP PARIBAS,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,CITIBANK N.A,FOREIGN BANKS,False,207.3,50.6,58.5,3.34,196.06,,
2024,2024-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,False,103.93,,44.81,59.12,,37.93,
2024,2024-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,False,2.93,,,,2.93,,
2024,2024-03-31,CREDIT SUISSE AG,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,False,0.66,,0.66,,,,
2024,2024-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,False,2772.42,585.93,874.23,691.47,1792.65,550.42,125.18
2024,2024-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,False,1747.97,782.21,961.46,806.95,761.77,520.34,190.5
2024,2024-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,False,26.5,9.37,9.31,17.19,9.37,,5.46
2024,2024-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,False,,3.4,3.4,,,,
2024,2024-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,INDUSTRIAL BANK OF KOREA,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,JSC VTB BANK,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,KEB HANA BANK,FOREIGN BANKS,False,40.41,,,,40.41,,
2024,2024-03-31,KOOKMIN BANK,FOREIGN BANKS,False,,10.36,,,10.36,,
2024,2024-03-31,KRUNG THAI BANK PUBLIC COMPANY LIMITED,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,MASHREQ BANK PSC,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,MIZUHO BANK LTD,FOREIGN BANKS,False,6.34,,,,6.34,,
2024,2024-03-31,"MUFG BANK, LTD.",FOREIGN BANKS,False,,22.67,22.67,,,,
2024,2024-03-31,NATWEST MARKETS PLC,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,NONGHYUP BANK,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,PT BANK MAYBANK INDONESIA TBK,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,QATAR NATIONAL BANK (Q.P.S.C),FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,SBERBANK,FOREIGN BANKS,False,21.88,,,,21.88,,
2024,2024-03-31,SBM BANK (INDIA) LIMITED,FOREIGN BANKS,False,97.48,90.47,30.58,33.73,123.63,16.59,28.66
2024,2024-03-31,SHINHAN BANK,FOREIGN BANKS,False,156.22,4.95,7.53,132.78,20.86,10.91,6.44
2024,2024-03-31,SOCIETE GENERALE,FOREIGN BANKS,False,78.92,,,73.28,5.64,,
2024,2024-03-31,SONALI BANK,FOREIGN BANKS,False,4.24,0.27,0.01,,4.5,0.01,0.2
2024,2024-03-31,STANDARD CHARTERED BANK,FOREIGN BANKS,False,3232.79,1472.04,1463.6,566.87,2674.37,375.18,301.88
2024,2024-03-31,SUMITOMO MITSUI BANKING CORPORATION,FOREIGN BANKS,False,,,,,,,
2024,2024-03-31,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN BANKS,False,523.54,229.37,194.68,100.1,458.13,83.26,50.3
2024,2024-03-31,UNITED OVERSEAS BANK LTD,FOREIGN BANKS,False,55.49,,4.9,50.58,,,
2024,2024-03-31,WOORI BANK,FOREIGN BANKS,False,7.6,65.78,7.6,,65.78,,49.33
2024,2024-03-31,FOREIGN BANKS,FOREIGN BANKS,True,9473.89,5206.28,5491.08,2665.98,6523.11,1665.57,811.66
2024,2024-03-31,AU SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,981.31,1698.19,1037.11,405.0,1237.4,286.16,441.99
2024,2024-03-31,CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,152.62,128.43,110.55,0.33,170.18,74.05,85.08
2024,2024-03-31,EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,723.96,1138.87,809.53,232.03,821.28,312.02,360.9
2024,2024-03-31,ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,351.7,894.91,47.43,306.13,893.05,157.89,413.79
2024,2024-03-31,FINCARE SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,288.46,594.92,381.04,302.81,199.53,113.02,78.42
2024,2024-03-31,JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,709.19,1110.96,1007.03,318.79,494.33,468.0,130.02
2024,2024-03-31,NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,347.33,255.25,503.38,,99.2,27.16,67.06
2024,2024-03-31,SHIVALIK SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,32.73,16.55,5.48,1.09,42.71,16.3,17.63
2024,2024-03-31,SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,191.4,196.33,42.28,103.07,242.37,92.98,69.87
2024,2024-03-31,UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,630.61,479.78,223.99,273.87,612.52,9.04,76.29
2024,2024-03-31,UNITY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,3767.36,168.49,169.72,3405.92,360.21,15.31,50.38
2024,2024-03-31,UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,431.5,469.19,169.7,313.42,417.58,50.51,4.49
2024,2024-03-31,SMALL FINANCE BANKS,SMALL FINANCE BANKS,True,8608.2,7151.87,4507.24,5662.45,5590.37,1622.44,1795.92
2024,2024-03-31,AIRTEL PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2024,2024-03-31,FINO PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2024,2024-03-31,INDIA POST PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2024,2024-03-31,PAYTM PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,,,,
2024,2024-03-31,PAYMENTS BANKS,PAYMENTS BANKS,True,,,,,,,
2023,2023-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,54059.4,11150.39,10099.27,18346.82,36763.7,13364.65,8384.32
2023,2023-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,45605.39,7968.83,7233.78,8654.88,37685.56,9851.92,8053.61
2023,2023-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,5327.21,1629.72,1132.35,1490.57,4334.0,1276.57,435.17
2023,2023-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,55652.0,11979.0,8712.0,12760.0,46159.0,18668.0,14349.0
2023,2023-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,28156.22,4075.72,3587.44,10258.25,18386.25,6675.17,3591.72
2023,2023-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,35214.25,7042.73,5693.03,8384.42,28179.53,8848.64,4043.07
2023,2023-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,15298.62,4472.43,2276.76,3422.74,14071.55,3824.63,3266.01
2023,2023-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,8564.82,908.46,1541.78,2283.29,5648.21,1742.27,1411.5
2023,2023-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,92448.04,16028.92,14571.29,16578.0,77327.67,34908.73,22585.04
2023,2023-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,112023.37,18420.64,15454.96,24061.27,90927.78,27965.71,21466.64
2023,2023-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,10237.43,2096.03,2032.23,2574.77,7726.46,3315.78,2018.02
2023,2023-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,79587.07,12518.6,11943.38,19175.0,60987.29,24303.3,12927.44
2023,2023-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,542173.82,98291.47,84278.28,127990.02,428197.0,154745.37,102531.54
2023,2023-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,18565.63,14253.58,9551.84,6248.28,17019.09,4745.3,3439.11
