Year,Report Date,Bank Name,Bank Type,Basel-I_Tier-I,Basel-I_Tier-II,Basel-I_Total,Basel-II_Tier-I,Basel-II_Tier-II,Basel-II_Total,Basel-III_Tier-I,Basel-III_Tier-II,Basel-III_Total
2025,2025-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.1,1.14,16.24
2025,2025-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,,,,,,,13.95,2.34,16.29
2025,2025-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,,,,,,,18.35,1.5,19.85
2025,2025-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,,,,,,,17.12,1.05,18.17
2025,2025-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,21.1,1.15,22.25
2025,2025-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.84,0.92,16.76
2025,2025-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,14.06,1.49,15.55
2025,2025-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,,,,,,,17.98,1.33,19.31
2025,2025-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,,,,,,,31.24,1.47,32.71
2025,2025-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,13.52,2.13,15.65
2025,2025-03-31,AB BANK PLC,FOREIGN BANKS,,,,,,,87.21,0.76,87.97
2025,2025-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,,,,,,,13.05,4.15,17.2
2025,2025-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,,,,,,,15.81,2.1,17.91
2025,2025-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,,,,,,,17.12,2.02,19.14
2025,2025-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,,,,,,,28.56,0.94,29.5
2025,2025-03-31,BANK OF CEYLON,FOREIGN BANKS,,,,,,,26.22,1.25,27.47
2025,2025-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,,,,,,,124.54,0.61,125.15
2025,2025-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,,,,,,,467.41,10.48,477.89
2025,2025-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,,,,,,,17.61,1.55,19.16
2025,2025-03-31,BNP PARIBAS,FOREIGN BANKS,,,,,,,14.06,2.56,16.62
2025,2025-03-31,CITIBANK N.A,FOREIGN BANKS,,,,,,,17.9,2.48,20.38
2025,2025-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,,,,,,,187.44,,187.44
2025,2025-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,,,,,,,18.81,1.53,20.34
2025,2025-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,,,,,,,23.19,0.88,24.07
2025,2025-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,,,,,,,13.55,3.26,16.81
2025,2025-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,,,,,,,16.49,1.2,17.69
2025,2025-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,,,,,,,40.35,1.08,41.43
2025,2025-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,,,,,,,29.52,0.5,30.02
2025,2025-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,,,,,,,24.55,1.48,26.03
2025,2025-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,,,,,,,304.26,,304.26
2025,2025-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,,,,,,,24.29,2.5,26.79
2025,2025-03-31,INDUSTRIAL BANK OF KOREA,FOREIGN BANKS,,,,,,,95.69,0.75,96.44
2025,2025-03-31,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,FOREIGN BANKS,,,,,,,17.37,2.64,20.01
2025,2025-03-31,JSC VTB BANK,FOREIGN BANKS,,,,,,,193.76,,193.76
2025,2025-03-31,KEB HANA BANK,FOREIGN BANKS,,,,,,,30.43,0.52,30.95
2025,2025-03-31,KOOKMIN BANK,FOREIGN BANKS,,,,,,,28.85,0.56,29.41
2025,2025-03-31,MASHREQ BANK PSC,FOREIGN BANKS,,,,,,,36.14,0.57,36.71
2025,2025-03-31,MIZUHO BANK LTD,FOREIGN BANKS,,,,,,,20.71,1.24,21.95
2025,2025-03-31,"MUFG BANK, LTD.",FOREIGN BANKS,,,,,,,15.85,0.66,16.51
2025,2025-03-31,NATWEST MARKETS PLC,FOREIGN BANKS,,,,,,,371.04,7.36,378.4
2025,2025-03-31,NONGHYUP BANK,FOREIGN BANKS,,,,,,,82.69,0.17,82.86
2025,2025-03-31,PT BANK MAYBANK INDONESIA TBK,FOREIGN BANKS,,,,,,,74.03,0.84,74.87
2025,2025-03-31,QATAR NATIONAL BANK (Q.P.S.C),FOREIGN BANKS,,,,,,,37.31,0.48,37.79
2025,2025-03-31,SBERBANK,FOREIGN BANKS,,,,,,,165.29,0.25,165.54
2025,2025-03-31,SBM BANK (INDIA) LIMITED,FOREIGN BANKS,,,,,,,11.64,3.88,15.52
2025,2025-03-31,SHINHAN BANK,FOREIGN BANKS,,,,,,,15.97,0.97,16.94
2025,2025-03-31,SOCIETE GENERALE,FOREIGN BANKS,,,,,,,24.63,1.38,26.01
2025,2025-03-31,SONALI BANK PLC,FOREIGN BANKS,,,,,,,167.29,0.38,167.67
2025,2025-03-31,STANDARD CHARTERED BANK,FOREIGN BANKS,,,,,,,13.93,1.23,15.16
2025,2025-03-31,SUMITOMO MITSUI BANKING CORPORATION,FOREIGN BANKS,,,,,,,22.32,0.97,23.29
2025,2025-03-31,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN BANKS,,,,,,,14.96,1.38,16.34
2025,2025-03-31,UBS AG,FOREIGN BANKS,,,,,,,175.4,3.36,178.76
2025,2025-03-31,UNITED OVERSEAS BANK LTD,FOREIGN BANKS,,,,,,,165.4,2.38,167.78
2025,2025-03-31,WOORI BANK,FOREIGN BANKS,,,,,,,35.71,2.04,37.75
2025,2025-03-31,AU SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,18.14,1.92,20.06,,,
2025,2025-03-31,CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,21.71,3.68,25.39,,,
2025,2025-03-31,EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,17.84,2.76,20.6,,,
2025,2025-03-31,ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,17.58,4.26,21.84,,,
2025,2025-03-31,JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,19.75,0.93,20.68,,,
2025,2025-03-31,NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,15.68,4.62,20.3,,,
2025,2025-03-31,SHIVALIK SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,18.37,2.58,20.95,,,
2025,2025-03-31,SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,24.45,1.38,25.83,,,
2025,2025-03-31,UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,21.38,1.72,23.1,,,
2025,2025-03-31,UNITY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,16.19,12.56,28.75,,,
2025,2025-03-31,UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,17.88,3.05,20.93,,,
2025,2025-03-31,AIRTEL PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,37.95,,37.95,,,
2025,2025-03-31,FINO PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,73.87,6.58,80.45,,,
2025,2025-03-31,INDIA POST PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,48.85,0.39,49.24,,,
2025,2025-03-31,PAYTM PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,151.72,0.16,151.88,,,
2024,2024-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,,,,,,,14.07,2.24,16.31
2024,2024-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,14.93,2.03,16.96
2024,2024-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,,,,,,,13.72,3.66,17.38
2024,2024-03-31,CANARA BANK,PUBLIC SECTOR BANKS,,,,,,,13.95,2.33,16.28
2024,2024-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,12.46,2.62,15.08
2024,2024-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,,,,,,,14.03,2.41,16.44
2024,2024-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,,,,,,,14.47,2.8,17.27
2024,2024-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,,,,,,,14.74,2.42,17.16
2024,2024-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,,,,,,,13.17,2.8,15.97
2024,2024-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,11.93,2.35,14.28
2024,2024-03-31,UCO BANK,PUBLIC SECTOR BANKS,,,,,,,14.54,2.44,16.98
2024,2024-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,15.0,1.97,16.97
2024,2024-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,14.2,2.43,16.63
2024,2024-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,13.83,0.86,14.69
2024,2024-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,22.69,1.04,23.73
2024,2024-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,23.1,1.37,24.47
2024,2024-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,14.53,2.06,16.59
2024,2024-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,11.36,1.35,12.71
2024,2024-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,14.61,1.52,16.13
2024,2024-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,16.79,2.01,18.8
2024,2024-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,15.6,0.73,16.33
2024,2024-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,20.11,2.15,22.26
2024,2024-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,13.36,2.75,16.11
2024,2024-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.82,1.41,17.23
2024,2024-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,,,,,,,13.09,2.24,15.33
2024,2024-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,,,,,,,16.17,1.83,18.0
2024,2024-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.46,1.21,16.67
2024,2024-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,19.25,1.3,20.55
2024,2024-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,14.26,0.96,15.22
2024,2024-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,14.38,1.8,16.18
2024,2024-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,,,,,,,17.65,2.26,19.91
2024,2024-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,,,,,,,27.97,1.4,29.37
2024,2024-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,12.18,3.18,15.36
2024,2024-03-31,AB BANK LIMITED,FOREIGN BANKS,,,,,,,95.61,0.71,96.32
2024,2024-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,,,,,,,16.28,7.2,23.48
2024,2024-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,,,,,,,19.64,0.79,20.43
2024,2024-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,,,,,,,16.76,1.7,18.46
2024,2024-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,,,,,,,22.02,0.85,22.87
2024,2024-03-31,BANK OF CEYLON,FOREIGN BANKS,,,,,,,32.01,1.25,33.26
2024,2024-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,,,,,,,133.14,0.47,133.61
2024,2024-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,,,,,,,499.59,11.29,510.88
2024,2024-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,,,,,,,14.55,1.38,15.93
2024,2024-03-31,BNP PARIBAS,FOREIGN BANKS,,,,,,,14.02,2.98,17.0
2024,2024-03-31,CITIBANK N.A,FOREIGN BANKS,,,,,,,16.71,2.0,18.71
2024,2024-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,,,,,,,159.88,0.88,160.76
2024,2024-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,,,,,,,12.22,2.18,14.4
2024,2024-03-31,CREDIT SUISSE AG,FOREIGN BANKS,,,,,,,85.12,1.85,86.97
2024,2024-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,,,,,,,33.91,1.19,35.1
2024,2024-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,,,,,,,13.3,2.45,15.75
2024,2024-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,,,,,,,14.53,1.73,16.26
2024,2024-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,,,,,,,39.06,0.94,40.0
2024,2024-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,,,,,,,37.61,1.3,38.91
2024,2024-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,,,,,,,34.26,3.14,37.4
2024,2024-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,,,,,,,252.41,0.33,252.74
2024,2024-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,,,,,,,21.04,0.87,21.91
2024,2024-03-31,INDUSTRIAL BANK OF KOREA,FOREIGN BANKS,,,,,,,65.61,0.75,66.36
2024,2024-03-31,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,FOREIGN BANKS,,,,,,,18.92,2.59,21.51
2024,2024-03-31,JSC VTB BANK,FOREIGN BANKS,,,,,,,188.29,,188.29
2024,2024-03-31,KEB HANA BANK,FOREIGN BANKS,,,,,,,30.45,0.51,30.96
2024,2024-03-31,KOOKMIN BANK,FOREIGN BANKS,,,,,,,34.45,0.57,35.02
2024,2024-03-31,KRUNG THAI BANK PUBLIC COMPANY LIMITED,FOREIGN BANKS,,,,,,,277.37,1.25,278.62
2024,2024-03-31,MASHREQ BANK PSC,FOREIGN BANKS,,,,,,,65.43,0.88,66.31
2024,2024-03-31,MIZUHO BANK LTD,FOREIGN BANKS,,,,,,,22.44,0.93,23.37
2024,2024-03-31,"MUFG BANK, LTD.",FOREIGN BANKS,,,,,,,21.89,0.98,22.87
2024,2024-03-31,NATWEST MARKETS PLC,FOREIGN BANKS,,,,,,,313.12,0.3,313.42
2024,2024-03-31,NONGHYUP BANK,FOREIGN BANKS,,,,,,,122.8,0.21,123.01
2024,2024-03-31,PT BANK MAYBANK INDONESIA TBK,FOREIGN BANKS,,,,,,,90.49,0.28,90.77
2024,2024-03-31,QATAR NATIONAL BANK (Q.P.S.C),FOREIGN BANKS,,,,,,,41.7,0.36,42.06
2024,2024-03-31,SBERBANK,FOREIGN BANKS,,,,,,,143.93,0.06,143.99
2024,2024-03-31,SBM BANK (INDIA) LIMITED,FOREIGN BANKS,,,,,,,12.3,4.6,16.9
2024,2024-03-31,SHINHAN BANK,FOREIGN BANKS,,,,,,,17.13,0.88,18.01
2024,2024-03-31,SOCIETE GENERALE,FOREIGN BANKS,,,,,,,27.84,1.42,29.26
2024,2024-03-31,SONALI BANK,FOREIGN BANKS,,,,,,,127.12,0.29,127.41
2024,2024-03-31,STANDARD CHARTERED BANK,FOREIGN BANKS,,,,,,,14.4,1.79,16.19
2024,2024-03-31,SUMITOMO MITSUI BANKING CORPORATION,FOREIGN BANKS,,,,,,,19.51,0.82,20.33
2024,2024-03-31,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN BANKS,,,,,,,13.95,1.93,15.88
2024,2024-03-31,UNITED OVERSEAS BANK LTD,FOREIGN BANKS,,,,,,,146.73,2.08,148.81
2024,2024-03-31,WOORI BANK,FOREIGN BANKS,,,,,,,33.22,1.67,34.89
2024,2024-03-31,AU SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,18.8,1.26,20.06,,,
2024,2024-03-31,CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,22.8,4.59,27.39,,,
2024,2024-03-31,EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,20.71,0.99,21.7,,,
2024,2024-03-31,ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,19.7,3.57,23.27,,,
2024,2024-03-31,FINCARE SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,22.15,2.38,24.53,,,
2024,2024-03-31,JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,18.97,1.34,20.31,,,
2024,2024-03-31,NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,7.15,4.16,11.31,,,
2024,2024-03-31,SHIVALIK SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,16.75,3.44,20.19,,,
2024,2024-03-31,SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,26.54,1.87,28.41,,,
2024,2024-03-31,UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,22.58,2.11,24.69,,,
2024,2024-03-31,UNITY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,19.92,16.53,36.46,,,
2024,2024-03-31,UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,,,,20.95,1.62,22.57,,,
2024,2024-03-31,AIRTEL PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,38.31,,38.31,,,
2024,2024-03-31,FINO PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,70.05,4.45,74.5,,,
2024,2024-03-31,INDIA POST PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,54.64,0.22,54.86,,,
2024,2024-03-31,PAYTM PAYMENTS BANK LIMITED,PAYMENTS BANKS,,,,122.5,0.1,122.6,,,
2023,2023-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,,,,,,,13.99,2.25,16.24
2023,2023-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,14.41,1.87,16.28
2023,2023-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,,,,,,,14.25,3.89,18.14
2023,2023-03-31,CANARA BANK,PUBLIC SECTOR BANKS,,,,,,,13.78,2.9,16.68
2023,2023-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,12.11,2.01,14.12
2023,2023-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,,,,,,,13.48,3.01,16.49
2023,2023-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,,,,,,,12.88,3.22,16.1
2023,2023-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,,,,,,,14.32,2.78,17.1
2023,2023-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,,,,,,,12.69,2.81,15.5
2023,2023-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,12.06,2.62,14.68
2023,2023-03-31,UCO BANK,PUBLIC SECTOR BANKS,,,,,,,13.96,2.55,16.51
2023,2023-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,13.91,2.13,16.04
2023,2023-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,14.57,3.07,17.64
2023,2023-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,18.7,1.06,19.76
2023,2023-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,21.27,1.07,22.34
2023,2023-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,25.87,1.23,27.1
2023,2023-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,15.18,2.37,17.55
2023,2023-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,10.55,1.77,12.32
2023,2023-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,13.02,1.79,14.81
2023,2023-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,17.13,2.13,19.26
2023,2023-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,17.6,0.74,18.34
2023,2023-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,18.08,2.36,20.44
2023,2023-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,14.2,2.62,16.82
2023,2023-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,,,,,,,16.37,1.49,17.86
2023,2023-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,,,,,,,12.34,3.04,15.38
2023,2023-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,,,,,,,14.18,3.27,17.45
2023,2023-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,,,,,,,16.79,1.77,18.56
2023,2023-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,20.78,1.02,21.8
2023,2023-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.23,1.01,16.24
2023,2023-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.25,1.67,16.92
2023,2023-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,,,,,,,14.74,2.51,17.25
2023,2023-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,,,,,,,24.61,1.65,26.26
2023,2023-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,13.26,4.66,17.92
2023,2023-03-31,AB BANK LIMITED,FOREIGN BANKS,,,,,,,69.84,0.71,70.55
2023,2023-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,,,,,,,18.79,13.55,32.34
2023,2023-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,,,,,,,18.73,1.38,20.11
2023,2023-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,,,,,,,18.39,1.43,19.82
2023,2023-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,,,,,,,21.36,0.77,22.13
2023,2023-03-31,BANK OF CEYLON,FOREIGN BANKS,,,,,,,29.5,1.25,30.75
2023,2023-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,,,,,,,108.26,0.33,108.59
2023,2023-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,,,,,,,129.17,3.1,132.27
2023,2023-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,,,,,,,15.94,1.34,17.28
2023,2023-03-31,BNP PARIBAS,FOREIGN BANKS,,,,,,,12.98,2.85,15.83
2023,2023-03-31,CITIBANK N.A,FOREIGN BANKS,,,,,,,18.7,1.98,20.68
2023,2023-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,,,,,,,73.21,1.19,74.4
2023,2023-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,,,,,,,11.62,2.03,13.65
2023,2023-03-31,CREDIT SUISSE AG,FOREIGN BANKS,,,,,,,43.78,3.18,46.96
2023,2023-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,,,,,,,22.31,1.22,23.53
2023,2023-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,,,,,,,12.55,2.44,14.99
2023,2023-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,,,,,,,14.14,1.27,15.41
2023,2023-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,,,,,,,28.36,0.98,29.34
2023,2023-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,,,,,,,50.64,1.61,52.25
