Year,Report Date,Bank Name,Bank Type,Is_Aggregate,Capital Market Sector,Real Estate Sector,Commodities,Total
2024,2024-03-31,SMALL FINANCE BANKS,SMALL FINANCE BANKS,True,482.33,45129.04,,45611.37
2024,2024-03-31,AIRTEL PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,
2024,2024-03-31,FINO PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,2.5,,,2.5
2024,2024-03-31,INDIA POST PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,
2024,2024-03-31,PAYTM PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,
2024,2024-03-31,PAYMENTS BANKS,PAYMENTS BANKS,True,2.5,,,2.5
2024,2024-03-31,ALL SCHEDULED COMMERCIAL BANKS,ALL SCHEDULED COMMERCIAL BANKS,True,244253.32,4424410.59,,4668663.91
2023,2023-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,3997.06,172823.62,,176820.68
2023,2023-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,3864.21,93293.0,,97157.21
2023,2023-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,170.46,38201.02,,38371.48
2023,2023-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,3340.63,155838.26,,159178.89
2023,2023-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,1450.24,58284.06,,59734.3
2023,2023-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,2680.61,100555.17,,103235.78
2023,2023-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,1569.2,32801.16,,34370.36
2023,2023-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,435.71,15127.21,,15562.92
2023,2023-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,3752.37,166429.38,,170181.75
2023,2023-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,27494.19,729163.5,,756657.69
2023,2023-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,441.0,36250.48,,36691.48
2023,2023-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,4910.97,146080.91,,150991.88
2023,2023-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,54106.65,1744847.77,,1798954.42
2023,2023-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,19999.19,287026.48,,307025.67
2023,2023-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,False,1200.08,28917.15,,30117.23
2023,2023-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,False,5.91,5510.45,,5516.36
2023,2023-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,False,14.59,1672.14,,1686.72
2023,2023-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,False,219.09,12081.67,,12300.77
2023,2023-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,False,64.57,1623.94,,1688.51
2023,2023-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,False,2776.42,46068.07,,48844.49
2023,2023-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,False,38726.59,213505.6,,252232.19
2023,2023-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,False,25020.08,459676.19,,484696.26
2023,2023-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,False,775.0,74958.0,,75733.0
2023,2023-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,False,2688.93,24039.0,,26727.93
2023,2023-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,False,8387.65,45900.59,,54288.24
2023,2023-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,False,89.48,14675.98,,14765.46
2023,2023-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,False,254.09,15174.52,,15428.61
2023,2023-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,False,239.31,11134.98,,11374.29
2023,2023-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,False,12934.33,76594.86,,89529.19
2023,2023-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,False,,1134.93,,1134.93
2023,2023-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,False,1081.35,9601.16,,10682.51
2023,2023-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,False,244.84,7134.56,,7379.4
2023,2023-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,False,26.21,5333.34,,5359.54
2023,2023-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,False,3424.52,31918.97,,35343.49
2023,2023-03-31,PRIVATE SECTOR BANKS,PRIVATE SECTOR BANKS,True,118172.2,1373682.58,,1491854.79
2023,2023-03-31,AB BANK LIMITED,FOREIGN BANKS,False,,,,
2023,2023-03-31,ABU DHABI COMMERCIAL BANK PJSC,FOREIGN BANKS,False,,,,
2023,2023-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,False,39.36,10.66,,50.01
2023,2023-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,False,,,,
2023,2023-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,False,50.0,,,50.0
2023,2023-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,False,,33.19,,33.19
2023,2023-03-31,BANK OF CEYLON,FOREIGN BANKS,False,,87.8,,87.8
2023,2023-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,False,,,,
2023,2023-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,False,,,,
2023,2023-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,False,800.14,1002.94,,1803.08
2023,2023-03-31,BNP PARIBAS,FOREIGN BANKS,False,0.01,745.49,,745.5
2023,2023-03-31,CITIBANK N.A,FOREIGN BANKS,False,2256.22,3381.85,,5638.07
2023,2023-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,False,,,,
2023,2023-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,False,,167.66,,167.66
2023,2023-03-31,CREDIT SUISSE AG,FOREIGN BANKS,False,15.0,2.62,,17.62
2023,2023-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,False,,117.83,,117.83
2023,2023-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,False,948.1,8580.54,,9528.64
2023,2023-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,False,192.55,25827.12,,26019.67
2023,2023-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,False,0.6,108.22,,108.81
2023,2023-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,False,,,,
2023,2023-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,False,,438.61,,438.61
2023,2023-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,False,,,,
2023,2023-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,False,,,,
