,,,,,,,,,
,,HDFC BANK LTD.,"31,173.32","31,977.43","16,082.31","11,845.80","35,222.64","8,091.74","11,320.43"
,,ICICI BANK LIMITED,"27,313.87","20,201.13","13,796.96","10,194.94","23,523.10","5,377.79","5,589.41"
,,IDBI BANK LIMITED,"8,917.00","1,923.00","3,021.00","1,124.00","6,695.00",644.00,337.00
,,IDFC FIRST BANK LIMITED,"3,718.36","8,054.78","2,479.59","4,859.97","4,433.58","1,160.47","1,229.92"
,,INDUSIND BANK LTD,"6,693.37","10,547.73","2,114.58","4,080.14","11,046.38","1,968.90","3,287.14"
,,JAMMU & KASHMIR BANK LTD,"3,956.18",952.91,879.85,424.40,"3,604.84",736.83,818.03
,,KARNATAKA BANK LTD,"2,578.42","1,206.77","1,054.58",328.53,"2,402.08","1,129.18","1,004.55"
,,KARUR VYSYA BANK LTD,"1,041.64",481.85,185.11,696.58,641.80,297.97,166.21
,,KOTAK MAHINDRA BANK LTD.,"5,274.78","6,378.62","2,776.42","2,743.13","6,133.85","1,270.57","1,343.43"
,,NAINITAL BANK LTD,398.67,65.01,73.95,3.53,386.20,41.88,25.92
,,RBL BANK LTD,"2,270.97","4,112.72",987.49,"2,930.73","2,465.47",619.30,270.79
,,SOUTH INDIAN BANK LTD,"3,620.34","1,176.44",954.23,"1,042.71","2,799.84","1,134.58",790.52
,,TAMILNAD MERCANTILE BANK LTD,575.06,177.76,169.60,27.09,556.13,335.82,160.45
,,YES BANK LTD.,"3,982.56","5,090.35","2,335.28","2,802.02","3,935.61","1,329.73",800.14
,,PRIVATE SECTOR BANKS,"129,163.50","121,734.54","59,679.73","58,544.32","132,674.00","31,593.55","35,068.70"
,,AB BANK PLC,-,-,-,-,-,-,-
,,AMERICAN EXPRESS BANKING CORP.,261.88,"2,006.36","1,835.89",137.07,295.28,38.13,37.82
,,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,-,-
,,"BANK OF AMERICA , NATIONAL ASSOCIATION",-,-,-,-,-,-,-
,,BANK OF BAHRAIN & KUWAIT B.S.C.,18.39,4.71,1.18,16.74,5.18,2.89,0.09
,,BANK OF CEYLON,48.02,-,12.32,-,35.70,12.67,8.70
,,BANK OF CHINA LIMITED,-,-,-,-,-,-,-
,,BANK OF NOVA SCOTIA,-,-,-,-,-,-,-
,,BARCLAYS BANK PLC,0.16,-,-,0.16,-,-,-
,,BNP PARIBAS,-,-,-,-,-,-,-
,,CITIBANK N.A,196.06,"1,282.46","1,282.51",91.26,104.76,-,-
,,COOPERATIEVE RABOBANK U.A.,-,-,-,-,-,-,-
,,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2.93,-,-,-,2.93,-,-
,,"CTBC BANK CO., LTD.",-,-,-,-,-,-,-
,,DBS BANK INDIA LIMITED,"1,792.65",822.93,476.66,600.78,"1,538.14",125.18,150.48
,,DEUTSCHE BANK AG,761.77,"1,117.47",976.25,260.60,642.39,190.50,187.37
,,DOHA BANK Q.P.S.C.,9.37,-,-,-,9.37,5.46,4.34
,,EMIRATES NBD BANK (P.J.S.C.),-,-,-,-,-,-,-
,,FIRST ABU DHABI BANK PJSC,-,-,-,-,-,-,-
,,FIRSTRAND BANK LTD,-,-,-,-,-,-,-
,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,-,-,-,-,-,-,-
,,INDUSTRIAL BANK OF KOREA,-,-,-,-,-,-,-
,,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,-,-,-,-,-,-,-
,,JSC VTB BANK,-,-,-,-,-,-,-
,,KEB HANA BANK,40.41,-,22.05,18.36,-,-,-
,,KOOKMIN BANK,10.36,-,-,10.36,-,-,-
,,MASHREQ BANK PSC,-,-,-,-,-,-,-
,,MIZUHO BANK LTD,6.34,-,-,6.34,-,-,-
,,"MUFG BANK, LTD.",-,-,-,-,-,-,-
,,NATWEST MARKETS PLC,-,-,-,-,-,-,-
,,NONGHYUP BANK,-,-,-,-,-,-,-
,,PT BANK MAYBANK INDONESIA TBK,-,-,-,-,-,-,-
,,QATAR NATIONAL BANK (Q.P.S.C),-,-,-,-,-,-,-
,,SBERBANK,21.88,-,8.31,-,13.57,-,-
,,SBM BANK (INDIA) LIMITED,123.63,70.53,21.41,9.83,162.92,28.66,45.94
,,SHINHAN BANK,20.86,30.35,24.70,0.72,25.80,6.44,16.33
,,SOCIETE GENERALE,5.64,-,1.69,-,3.94,-,-
,,SONALI BANK PLC,4.50,1.41,0.27,-,5.63,0.20,0.69
,,STANDARD CHARTERED BANK,"2,674.37","1,648.29","1,251.26","1,054.88","2,016.53",301.88,285.57
,,SUMITOMO MITSUI BANKING CORPORATION,-,-,-,-,-,-,-
,,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,458.13,271.11,179.02,91.27,458.94,50.30,38.60
,,UBS AG,-,-,-,-,-,-,-
,,UNITED OVERSEAS BANK LTD,-,-,-,-,-,-,-
,,WOORI BANK,65.78,-,7.60,58.17,-,49.33,-
,,FOREIGN BANKS,"6,523.11","7,255.62","6,101.13","2,356.52","5,321.08",811.66,775.93
,,AU SMALL FINANCE BANK LIMITED,"1,237.40","3,995.60","1,584.80","1,171.17","2,477.03",441.99,832.34
,,CAPITAL SMALL FINANCE BANK LIMITED,170.18,84.43,68.77,0.51,185.34,85.08,91.84
,,EQUITAS SMALL FINANCE BANK LIMITED,821.28,"2,031.63",958.82,826.35,"1,067.73",360.90,354.20
,,ESAF SMALL FINANCE BANK LIMITED,893.05,"1,699.94",77.49,"1,224.93","1,290.57",413.79,539.64
,,JANA SMALL FINANCE BANK LIMITED,494.33,"1,859.12","1,251.50",352.35,749.60,130.02,254.18
,,NORTH EAST SMALL FINANCE BANK LIMITED,99.20,194.87,23.75,85.55,184.76,67.06,135.60
,,SHIVALIK SMALL FINANCE BANK LIMITED,42.71,63.76,14.91,11.44,80.13,17.63,17.63
,,SURYODAY SMALL FINANCE BANK LIMITED,242.37,743.73,22.46,229.81,733.84,69.87,457.02
,,UJJIVAN SMALL FINANCE BANK LIMITED,612.52,"1,128.83",180.04,865.44,695.89,76.29,152.43
,,UNITY SMALL FINANCE BANK LIMITED,360.21,696.52,138.73,248.57,669.43,50.38,169.37
,,UTKARSH SMALL FINANCE BANK LIMITED,417.58,"2,108.17",201.06,470.30,"1,854.38",4.49,905.27
,,SMALL FINANCE BANKS,"5,390.84","14,606.60","4,522.33","5,486.42","9,988.69","1,717.51","3,909.52"
,,AIRTEL PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,FINO PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,INDIA POST PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,PAYTM PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,PAYMENTS BANKS,-,-,-,-,-,-,-
,2024,BANK OF BARODA,"36,763.70","10,396.53","4,729.29","10,597.31","31,833.63","8,384.32","7,213.34"
,,BANK OF INDIA,"37,685.56","7,550.76","6,304.50","9,749.05","29,182.77","8,053.61","6,845.26"
,,BANK OF MAHARASHTRA,"4,334.00","1,255.20",766.18,989.97,"3,833.05",435.17,408.99
,,CANARA BANK,"46,159.00","10,626.00","4,355.00","11,825.00","40,605.00","14,349.00","11,823.00"
,,CENTRAL BANK OF INDIA,"18,386.25","5,124.35","2,168.81","10,001.45","11,340.34","3,591.72","3,001.95"
,,INDIAN BANK,"28,179.53","6,769.93","5,121.93","8,721.22","21,106.31","4,043.07","2,222.58"
,,INDIAN OVERSEAS BANK,"14,071.55","1,648.51","1,711.80","7,213.83","6,794.43","3,266.01","1,216.85"
,,PUNJAB AND SIND BANK,"5,648.21",971.19,"1,158.09",795.96,"4,665.35","1,411.50","1,350.46"
,,PUNJAB NATIONAL BANK,"77,327.67","5,826.20","10,553.59","16,257.23","56,343.05","22,585.04","6,798.77"
,,STATE BANK OF INDIA,"90,927.78","20,316.90","10,806.98","16,161.37","84,276.33","21,466.64","21,051.08"
,,UCO BANK,"7,726.46","2,072.39","1,397.62","1,937.92","6,463.31","2,018.02","1,621.65"
,,UNION BANK OF INDIA,"60,987.29","11,876.65","11,502.00","18,264.21","43,097.73","12,927.44","8,989.92"
,,PUBLIC SECTOR BANKS,"428,197.00","84,434.61","60,575.79","112,514.52","339,541.30","102,531.54","72,543.85"
,,AXIS BANK LIMITED,"17,019.09","14,404.64","8,732.66","8,346.03","14,345.04","3,439.11","3,247.47"
,,BANDHAN BANK LIMITED,"5,298.62","5,681.68","1,545.08","4,650.34","4,784.88","1,228.27","1,347.61"
,,CITY UNION BANK LIMITED,"1,920.16","1,013.51",815.78,263.46,"1,854.43","1,017.63",898.68
,,CSB BANK LIMITED,262.56,175.73,71.13,6.09,361.07,71.82,124.90
,,DCB BANK LIMITED,"1,122.84","1,488.39","1,146.13",111.63,"1,353.47",356.92,454.33
,,DHANLAXMI BANK LIMITED,511.15,152.24,151.65,90.53,421.21,109.20,126.47
,,FEDERAL BANK LTD,"4,183.77","1,741.53","1,351.15",45.28,"4,528.87","1,205.01","1,255.33"
,,HDFC BANK LTD.,"18,019.03","40,262.10","16,077.86","11,029.95","31,173.32","4,368.43","8,091.74"
,,ICICI BANK LIMITED,"29,986.07","18,998.79","15,472.74","6,198.25","27,313.87","5,150.07","5,377.79"
,,IDBI BANK LIMITED,"10,969.00","3,559.00","2,627.00","2,984.00","8,917.00","1,495.00",644.00
,,IDFC FIRST BANK LIMITED,"3,884.45","5,257.78","2,440.24","2,983.63","3,718.36","1,304.05","1,160.47"
,,INDUSIND BANK LTD,"5,826.26","6,033.05","2,695.34","2,470.60","6,693.37","1,714.96","1,968.90"
,,JAMMU & KASHMIR BANK LTD,"5,204.43","1,111.62","1,747.18",612.69,"3,956.18","1,334.24",736.83
,,KARNATAKA BANK LTD,"2,292.91","1,650.20",937.47,427.22,"2,578.42","1,021.27","1,129.18"
,,KARUR VYSYA BANK LTD,"1,458.15",499.23,261.71,654.03,"1,041.64",468.15,297.97
,,KOTAK MAHINDRA BANK LTD.,"5,768.32","5,001.11","3,236.73","2,257.92","5,274.78","1,193.30","1,270.57"
,,NAINITAL BANK LTD,443.26,97.25,92.84,49.00,398.67,78.33,41.88
,,RBL BANK LTD,"2,419.86","2,441.30",870.18,"1,720.01","2,270.97",772.54,619.30
,,SOUTH INDIAN BANK LTD,"3,708.26","1,395.48","1,155.76",327.64,"3,620.34","1,293.61","1,134.58"
,,TAMILNAD MERCANTILE BANK LTD,521.46,502.77,237.94,211.24,575.06,229.83,335.82
,,YES BANK LTD.,"4,394.57","5,334.04","2,984.03","2,762.02","3,982.56","1,658.09","1,329.73"
,,PRIVATE SECTOR BANKS,"125,214.23","116,801.44","64,650.60","48,201.57","129,163.50","29,509.83","31,593.55"
,,AB BANK LIMITED,-,-,-,-,-,-,-
,,AMERICAN EXPRESS BANKING CORP.,288.12,"1,870.46","1,798.10",98.59,261.88,41.40,38.13
,,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,-,-
,,"BANK OF AMERICA , NATIONAL ASSOCIATION",-,7.75,7.75,-,-,-,-
,,BANK OF BAHRAIN & KUWAIT B.S.C.,18.36,0.65,0.42,0.20,18.39,13.40,2.89
,,BANK OF CEYLON,48.88,-,0.86,-,48.02,16.13,12.67
,,BANK OF CHINA LIMITED,-,-,-,-,-,-,-
,,BANK OF NOVA SCOTIA,0.36,-,-,0.36,-,-,-
,,BARCLAYS BANK PLC,31.56,-,-,31.40,0.16,-,-
,,BNP PARIBAS,-,-,-,-,-,-,-
,,CITIBANK N.A,207.30,50.60,58.50,3.34,196.06,-,-
,,COOPERATIEVE RABOBANK U.A.,103.93,-,44.81,59.12,-,37.93,-
,,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2.93,-,-,-,2.93,-,-
,,CREDIT SUISSE AG,-,-,-,-,-,-,-
,,"CTBC BANK CO., LTD.",0.66,-,0.66,-,-,-,-
,,DBS BANK INDIA LIMITED,"2,772.42",585.93,874.23,691.47,"1,792.65",550.42,125.18
,,DEUTSCHE BANK AG,"1,747.97",782.21,961.46,806.95,761.77,520.34,190.50
,,DOHA BANK Q.P.S.C.,26.50,9.37,9.31,17.19,9.37,-,5.46
,,EMIRATES NBD BANK (P.J.S.C.),-,3.40,3.40,-,-,-,-
,,FIRST ABU DHABI BANK PJSC,-,-,-,-,-,-,-
,,FIRSTRAND BANK LTD,-,-,-,-,-,-,-
,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,-,-,-,-,-,-,-
,,INDUSTRIAL BANK OF KOREA,-,-,-,-,-,-,-
,,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,-,-,-,-,-,-,-
,,JSC VTB BANK,-,-,-,-,-,-,-
,,KEB HANA BANK,40.41,-,-,-,40.41,-,-
,,KOOKMIN BANK,-,10.36,-,-,10.36,-,-
,,KRUNG THAI BANK PUBLIC COMPANY LIMITED,-,-,-,-,-,-,-
,,MASHREQ BANK PSC,-,-,-,-,-,-,-
,,MIZUHO BANK LTD,6.34,-,-,-,6.34,-,-
,,"MUFG BANK, LTD.",-,22.67,22.67,-,-,-,-
,,NATWEST MARKETS PLC,-,-,-,-,-,-,-
,,NONGHYUP BANK,-,-,-,-,-,-,-
,,PT BANK MAYBANK INDONESIA TBK,-,-,-,-,-,-,-
,,QATAR NATIONAL BANK (Q.P.S.C),-,-,-,-,-,-,-
,,SBERBANK,21.88,-,-,-,21.88,-,-
,,SBM BANK (INDIA) LIMITED,97.48,90.47,30.58,33.73,123.63,16.59,28.66
,,SHINHAN BANK,156.22,4.95,7.53,132.78,20.86,10.91,6.44
,,SOCIETE GENERALE,78.92,-,-,73.28,5.64,-,-
,,SONALI BANK,4.24,0.27,0.01,-,4.50,0.01,0.20
,,STANDARD CHARTERED BANK,"3,232.79","1,472.04","1,463.60",566.87,"2,674.37",375.18,301.88
,,SUMITOMO MITSUI BANKING CORPORATION,-,-,-,-,-,-,-
,,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,523.54,229.37,194.68,100.10,458.13,83.26,50.30
,,UNITED OVERSEAS BANK LTD,55.49,-,4.90,50.58,-,-,-
,,WOORI BANK,7.60,65.78,7.60,-,65.78,-,49.33
,,FOREIGN BANKS,"9,473.89","5,206.28","5,491.08","2,665.98","6,523.11","1,665.57",811.66
,,AU SMALL FINANCE BANK LIMITED,981.31,"1,698.19","1,037.11",405.00,"1,237.40",286.16,441.99
,,CAPITAL SMALL FINANCE BANK LIMITED,152.62,128.43,110.55,0.33,170.18,74.05,85.08
,,EQUITAS SMALL FINANCE BANK LIMITED,723.96,"1,138.87",809.53,232.03,821.28,312.02,360.90
,,ESAF SMALL FINANCE BANK LIMITED,351.70,894.91,47.43,306.13,893.05,157.89,413.79
,,FINCARE SMALL FINANCE BANK LIMITED,288.46,594.92,381.04,302.81,199.53,113.02,78.42
,,JANA SMALL FINANCE BANK LIMITED,709.19,"1,110.96","1,007.03",318.79,494.33,468.00,130.02
,,NORTH EAST SMALL FINANCE BANK LIMITED,347.33,255.25,503.38,-,99.20,27.16,67.06
,,SHIVALIK SMALL FINANCE BANK LIMITED,32.73,16.55,5.48,1.09,42.71,16.30,17.63
,,SURYODAY SMALL FINANCE BANK LIMITED,191.40,196.33,42.28,103.07,242.37,92.98,69.87
,,UJJIVAN SMALL FINANCE BANK LIMITED,630.61,479.78,223.99,273.87,612.52,9.04,76.29
,,UNITY SMALL FINANCE BANK LIMITED,"3,767.36",168.49,169.72,"3,405.92",360.21,15.31,50.38
,,UTKARSH SMALL FINANCE BANK LIMITED,431.50,469.19,169.70,313.42,417.58,50.51,4.49
,,SMALL FINANCE BANKS,"8,608.20","7,151.87","4,507.24","5,662.45","5,590.37","1,622.44","1,795.92"
,,AIRTEL PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,FINO PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,INDIA POST PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,PAYTM PAYMENTS BANK LIMITED,-,-,-,-,-,-,-
,,PAYMENTS BANKS,-,-,-,-,-,-,-
,2023,BANK OF BARODA,"54,059.40","11,150.39","10,099.27","18,346.82","36,763.70","13,364.65","8,384.32"
,,BANK OF INDIA,"45,605.39","7,968.83","7,233.78","8,654.88","37,685.56","9,851.92","8,053.61"
,,BANK OF MAHARASHTRA,"5,327.21","1,629.72","1,132.35","1,490.57","4,334.00","1,276.57",435.17
,,CANARA BANK,"55,652.00","11,979.00","8,712.00","12,760.00","46,159.00","18,668.00","14,349.00"
,,CENTRAL BANK OF INDIA,"28,156.22","4,075.72","3,587.44","10,258.25","18,386.25","6,675.17","3,591.72"
,,INDIAN BANK,"35,214.25","7,042.73","5,693.03","8,384.42","28,179.53","8,848.64","4,043.07"
,,INDIAN OVERSEAS BANK,"15,298.62","4,472.43","2,276.76","3,422.74","14,071.55","3,824.63","3,266.01"
,,PUNJAB AND SIND BANK,"8,564.82",908.46,"1,541.78","2,283.29","5,648.21","1,742.27","1,411.50"
,,PUNJAB NATIONAL BANK,"92,448.04","16,028.92","14,571.29","16,578.00","77,327.67","34,908.73","22,585.04"
,,STATE BANK OF INDIA,"112,023.37","18,420.64","15,454.96","24,061.27","90,927.78","27,965.71","21,466.64"
,,UCO BANK,"10,237.43","2,096.03","2,032.23","2,574.77","7,726.46","3,315.78","2,018.02"
,,UNION BANK OF INDIA,"79,587.07","12,518.60","11,943.38","19,175.00","60,987.29","24,303.30","12,927.44"
,,PUBLIC SECTOR BANKS,"542,173.82","98,291.47","84,278.28","127,990.02","428,197.00","154,745.37","102,531.54"
,,AXIS BANK LIMITED,"18,565.63","14,253.58","9,551.84","6,248.28","17,019.09","4,745.30","3,439.11"
,,BANDHAN BANK LIMITED,"6,380.00","9,662.69","2,302.08","8,441.99","5,298.62","1,564.23","1,228.27"
,,CITY UNION BANK LIMITED,"1,933.18","1,329.03",812.50,529.55,"1,920.16","1,191.10","1,017.63"
,,CSB BANK LIMITED,289.51,81.08,92.29,15.74,262.56,106.99,71.82
,,DCB BANK LIMITED,"1,289.93","1,698.46","1,703.51",162.04,"1,122.84",573.23,356.92
,,DHANLAXMI BANK LIMITED,533.54,100.11,117.77,4.73,511.15,232.16,109.20
,,FEDERAL BANK LTD,"4,136.74","1,719.13","1,297.07",375.03,"4,183.77","1,392.62","1,205.01"
,,HDFC BANK LTD.,"16,140.96","24,536.31","11,856.84","10,801.40","18,019.03","4,407.68","4,368.43"
,,ICICI BANK LIMITED,"33,294.92","18,309.38","17,097.04","4,521.20","29,986.07","6,931.05","5,150.07"
,,IDBI BANK LIMITED,"34,115.00","3,750.00","4,970.00","21,926.00","10,969.00","1,864.00","1,495.00"
,,IDFC FIRST BANK LIMITED,"4,469.13","4,543.05","2,330.45","2,797.29","3,884.44","1,808.07","1,304.05"
,,INDUSIND BANK LTD,"5,517.15","6,892.00","2,821.32","3,761.57","5,826.27","1,529.83","1,714.96"
,,JAMMU & KASHMIR BANK LTD,"6,520.54","7,446.61","7,725.56","1,037.16","5,204.43","1,750.10","1,334.24"
,,KARNATAKA BANK LTD,"2,250.82","1,836.64","1,288.29",506.26,"2,292.91","1,376.97","1,021.27"
,,KARUR VYSYA BANK LTD,"3,431.04",479.24,560.14,"1,891.99","1,458.15","1,260.79",468.15
,,KOTAK MAHINDRA BANK LTD.,"6,469.74","3,989.93","3,900.97",790.37,"5,768.32","1,736.71","1,193.30"
,,NAINITAL BANK LTD,507.95,122.34,178.93,8.10,443.26,163.61,78.33
,,RBL BANK LTD,"2,728.39","2,754.70","1,304.80","1,758.43","2,419.86",806.56,772.54
,,SOUTH INDIAN BANK LTD,"3,648.09","1,513.22","1,295.82",157.23,"3,708.26","1,777.77","1,293.61"
,,TAMILNAD MERCANTILE BANK LTD,570.92,271.35,222.09,98.72,521.46,317.58,229.83
,,YES BANK LTD.,"27,975.98","4,775.11","10,242.50","18,114.02","4,394.57","8,204.53","1,658.09"
,,PRIVATE SECTOR BANKS,"180,769.17","110,063.96","81,671.81","83,947.09","125,214.23","43,740.88","29,509.83"
,,AB BANK LIMITED,-,-,-,-,-,-,-
,,AMERICAN EXPRESS BANKING CORP.,227.35,"1,986.10","1,847.69",77.65,288.12,20.49,41.40
,,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,25.00,-,25.00,-,-,-,-
,,"BANK OF AMERICA , NATIONAL ASSOCIATION",-,534.61,534.61,-,-,-,-
,,BANK OF BAHRAIN & KUWAIT B.S.C.,17.46,1.01,0.12,-,18.36,13.82,13.40
,,BANK OF CEYLON,53.60,-,4.72,-,48.88,0.00,0.00
,,BANK OF CHINA LIMITED,-,-,-,-,-,-,-
,,BANK OF NOVA SCOTIA,63.52,-,-,63.16,0.36,-,-
,,BARCLAYS BANK PLC,111.22,-,-,79.66,31.56,-,-
,,BNP PARIBAS,6.12,-,-,6.12,-,-,-
,,CITIBANK N.A,758.60,531.23,731.69,350.85,207.30,275.33,0.00
,,COOPERATIEVE RABOBANK U.A.,150.47,40.72,27.46,59.79,103.93,65.90,37.93
,,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2.93,-,-,-,2.93,-,-
,,CREDIT SUISSE AG,-,-,-,-,-,-,-
,,"CTBC BANK CO., LTD.",1.48,-,0.82,-,0.66,-,-
,,DBS BANK INDIA LIMITED,"4,533.80",490.16,647.77,"1,603.77","2,772.42",732.62,550.42
,,DEUTSCHE BANK AG,"2,731.60",903.02,"1,786.80",99.86,"1,747.97","1,304.56",520.34
,,DOHA BANK Q.P.S.C.,26.50,-,-,-,26.50,8.81,-
,,EMIRATES NBD BANK (P.J.S.C.),-,-,-,-,-,-,-
,,FIRST ABU DHABI BANK PJSC,-,-,-,-,-,-,-
,,FIRSTRAND BANK LTD,-,-,-,-,-,-,-
,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,-,-,-,-,-,-,-
,,INDUSTRIAL BANK OF KOREA,-,-,-,-,-,-,-
,,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,-,-,-,-,-,-,-
,,JSC VTB BANK,-,-,-,-,-,-,-
,,KEB HANA BANK,40.41,-,-,-,40.41,11.81,-
,,KOOKMIN BANK,-,-,-,-,-,-,-
,,KRUNG THAI BANK PUBLIC COMPANY LIMITED,-,-,-,-,-,-,-
,,MASHREQ BANK PSC,-,-,-,-,-,-,-
,,MIZUHO BANK LTD,6.34,-,-,-,6.34,-,-
,,"MUFG BANK, LTD.",-,-,-,-,-,-,-
,,NATWEST MARKETS PLC,-,-,-,-,-,-,-
,,PT BANK MAYBANK INDONESIA TBK,-,-,-,-,-,-,-
,,QATAR NATIONAL BANK (Q.P.S.C),53.15,-,-,0.91,52.24,-,-
,,SBERBANK,41.35,-,5.61,13.86,21.88,-,-
,,SBM BANK (INDIA) LIMITED,93.24,36.00,18.38,13.38,97.48,17.13,16.59
,,SHINHAN BANK,153.67,3.31,0.71,0.04,156.22,28.03,10.91
,,SOCIETE GENERALE,78.92,-,-,-,78.92,-,-
,,SONALI BANK,4.24,-,-,-,4.24,-,0.01
,,STANDARD CHARTERED BANK,"3,886.35","1,229.32","1,460.25",422.63,"3,232.79",397.91,375.18
,,SUMITOMO MITSUI BANKING CORPORATION,-,-,-,-,-,-,-
,,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,643.80,208.95,230.62,98.59,523.54,150.10,83.26
,,UNITED OVERSEAS BANK LTD,75.00,-,19.51,-,55.49,-,-
,,WOORI BANK,-,7.60,-,-,7.60,-,6.46
,,FOREIGN BANKS,"13,786.12","5,972.02","7,341.75","2,890.27","9,526.13","3,026.51","1,655.90"
,,AU SMALL FINANCE BANK LIMITED,924.38,"1,239.88",992.45,190.49,981.31,271.85,286.16
,,CAPITAL SMALL FINANCE BANK LIMITED,117.13,154.37,118.76,0.12,152.62,63.23,74.05
,,EQUITAS SMALL FINANCE BANK LIMITED,837.18,"1,087.09",790.47,409.84,723.96,479.47,312.01
,,ESAF SMALL FINANCE BANK LIMITED,949.60,719.05,820.36,496.59,351.70,455.96,157.89
,,FINCARE SMALL FINANCE BANK LIMITED,573.22,596.76,329.93,551.59,288.46,249.83,113.02
,,JANA SMALL FINANCE BANK LIMITED,756.90,"1,311.15",719.91,638.96,709.19,513.26,468.00
,,NORTH EAST SMALL FINANCE BANK LIMITED,189.92,266.52,10.71,98.40,347.33,57.44,27.16
,,SHIVALIK SMALL FINANCE BANK LIMITED,32.51,13.86,8.18,5.45,32.73,14.77,16.30
,,SURYODAY SMALL FINANCE BANK LIMITED,597.42,505.20,206.70,704.52,191.40,283.37,92.98
,,UJJIVAN SMALL FINANCE BANK LIMITED,"1,284.08",334.99,505.75,482.72,630.61,99.60,9.04
,,UNITY SMALL FINANCE BANK LIMITED,"3,773.30",151.30,148.42,8.81,"3,767.36",196.89,15.31
,,UTKARSH SMALL FINANCE BANK LIMITED,648.16,521.09,354.96,382.78,431.50,235.80,50.51
,,SMALL FINANCE BANKS,"10,683.80","6,901.25","5,006.61","3,970.26","8,608.19","2,921.45","1,622.43"
